epoch,total_loss,loss_u,loss_k
1,0.25201526,0.091544054,0.001547881
2,0.25610235,0.089016296,0.0014362946
3,0.22946706,0.073012285,0.0010982772
4,0.2565987,0.09635711,0.0010167037
5,0.19734943,0.04167341,0.0010873539
6,0.24692841,0.089246154,0.000786982
7,0.19933446,0.04456061,0.0007299259
8,0.24129601,0.08895075,0.0006041218
9,0.21222946,0.064033136,0.00060444965
10,0.22896609,0.085720666,0.00048312123
11,0.20327717,0.06756847,0.00042602918
12,0.16135994,0.039676916,0.0005111101
13,0.1428502,0.037108224,0.0004192191
14,0.12158986,0.031606227,0.00033037868
15,0.09113935,0.014371414,0.00031755574
16,0.10641866,0.03877287,0.00025842417
17,0.07054236,0.011650469,0.00010514234
18,0.06705478,0.013639271,8.149738e-05
19,0.06346838,0.01530267,6.520912e-05
20,0.050014675,0.0064222454,5.080338e-05
21,0.052697044,0.0127974115,5.475196e-05
22,0.050282184,0.0135472575,6.353419e-05
23,0.03552339,0.0022485987,4.425942e-05
24,0.033047326,0.0018616623,4.0882984e-05
25,0.034813277,0.0057499055,7.7753655e-05
26,0.031093966,0.0041554985,7.0378745e-05
27,0.034978528,0.009154011,5.4898108e-05
28,0.031273324,0.0069176867,6.0909417e-05
29,0.025888855,0.0024238508,6.7532885e-05
30,0.03450522,0.012247805,4.597635e-05
31,0.025483675,0.0041196737,3.4902874e-05
32,0.029082002,0.009137817,8.0827915e-05
33,0.02702994,0.008821412,8.227042e-05
34,0.023981288,0.0070055053,4.3206586e-05
35,0.020855222,0.0052445363,8.949149e-05
36,0.019300316,0.00518679,4.7553036e-05
37,0.016799722,0.0042674113,7.629936e-05
38,0.013670159,0.0024742016,5.8948342e-05
39,0.01396968,0.0042030397,9.527098e-05
40,0.011892015,0.003160169,7.7401804e-05
41,0.011580396,0.0043512783,6.2397754e-05
42,0.011728675,0.0052577076,9.450429e-05
43,0.009312928,0.0033300247,5.2862346e-05
44,0.011914124,0.006756596,9.956513e-05
45,0.007291603,0.0024953338,6.991161e-05
46,0.009036024,0.004555566,6.147106e-05
47,0.00847657,0.0046037496,6.281214e-05
48,0.0087683275,0.005194015,7.37439e-05
49,0.0066025346,0.0031318727,5.996137e-05
50,0.0050312863,0.0017754053,4.635863e-05
51,0.0062513403,0.0032753523,9.0065354e-05
52,0.0070747505,0.004073307,6.5094595e-05
53,0.005822417,0.003075744,7.408435e-05
54,0.0070084375,0.00443649,5.9844297e-05
55,0.005297008,0.0025588728,8.2293525e-05
56,0.006140707,0.0038580121,6.730853e-05
57,0.005457475,0.0031381135,8.3356186e-05
58,0.0047752415,0.0025611701,8.6412045e-05
59,0.0053393682,0.0032089949,7.3150615e-05
60,0.0057185385,0.003677326,9.319172e-05
61,0.005705743,0.0035624818,7.5589924e-05
62,0.004678494,0.0028635648,5.7941634e-05
63,0.0050643138,0.0032835018,7.057339e-05
64,0.0050321566,0.0031748656,6.58429e-05
65,0.0043638716,0.0027086718,7.072866e-05
66,0.0046839165,0.0027870592,7.28248e-05
67,0.0041212994,0.0025757642,8.0541e-05
