x,t,u_pred,k_pred
0.0,0.0,-0.000636816,0.0007962387
0.0050251256,0.0,-0.00059473515,0.00079630874
0.010050251,0.0,-0.0005441904,0.0007963927
0.015075377,0.0,-0.00048708916,0.00079648726
0.020100502,0.0,-0.00042295456,0.0007965943
0.025125628,0.0,-0.000351429,0.00079671404
0.030150754,0.0,-0.00027441978,0.0007968424
0.03517588,0.0,-0.0001924038,0.00079697924
0.040201005,0.0,-0.00010442734,0.00079712656
0.04522613,0.0,-1.2755394e-05,0.00079727976
0.050251257,0.0,8.404255e-05,0.0007974418
0.055276383,0.0,0.0001847744,0.000797611
0.06030151,0.0,0.00028920174,0.00079778675
0.06532663,0.0,0.0003976822,0.0007979694
0.07035176,0.0,0.0005095005,0.00079815736
0.07537688,0.0,0.00062561035,0.00079835375
0.08040201,0.0,0.0007458925,0.00079855707
0.085427135,0.0,0.0008690357,0.0007987652
0.09045226,0.0,0.0009980202,0.0007989839
0.09547739,0.0,0.0011314154,0.00079921074
0.10050251,0.0,0.0012699366,0.0007994462
0.10552764,0.0,0.0014162064,0.0007996959
0.110552765,0.0,0.0015687943,0.0007999558
0.11557789,0.0,0.0017303228,0.0008002325
0.12060302,0.0,0.001901865,0.000800527
0.12562814,0.0,0.0020860434,0.00080084335
0.13065326,0.0,0.0022854805,0.00080118654
0.1356784,0.0,0.0025020838,0.0008015603
0.14070351,0.0,0.002739668,0.0008019725
0.14572865,0.0,0.0030021667,0.0008024286
0.15075377,0.0,0.0032951832,0.00080293976
0.1557789,0.0,0.0036240816,0.00080351596
0.16080402,0.0,0.0039972067,0.00080417277
0.16582915,0.0,0.0044236183,0.0008049262
0.17085427,0.0,0.0049130917,0.00080579746
0.1758794,0.0,0.0054787993,0.00080681033
0.18090452,0.0,0.0061368346,0.00080799795
0.18592964,0.0,0.006906152,0.00080940005
0.19095477,0.0,0.0078092217,0.0008110627
0.1959799,0.0,0.008872747,0.0008130469
0.20100503,0.0,0.010128796,0.0008154248
0.20603015,0.0,0.011613727,0.0008182875
0.21105528,0.0,0.013372123,0.0008217495
0.2160804,0.0,0.015451014,0.0008259471
0.22110553,0.0,0.017903388,0.00083104725
0.22613065,0.0,0.020786166,0.0008372585
0.23115578,0.0,0.024154186,0.0008448233
0.2361809,0.0,0.02806127,0.00085403596
0.24120604,0.0,0.03254938,0.0008652356
0.24623115,0.0,0.03765118,0.0008788262
0.2512563,0.0,0.04338497,0.00089528284
0.2562814,0.0,0.049768567,0.0009152211
0.26130652,0.0,0.05683106,0.0009394837
0.26633167,0.0,0.06464666,0.00096937065
0.2713568,0.0,0.07335234,0.0010069578
0.2763819,0.0,0.083138466,0.0010555128
0.28140703,0.0,0.09415841,0.0011197188
0.28643215,0.0,0.10633659,0.0012050666
0.2914573,0.0,0.1191901,0.0013157626
0.2964824,0.0,0.13190246,0.001451884
0.30150753,0.0,0.14376342,0.0016095527
0.30653265,0.0,0.15457988,0.0017861031
0.3115578,0.0,0.16528165,0.0019993244
0.31658292,0.0,0.17905939,0.002345275
0.32160804,0.0,0.19862044,0.0030187238
0.32663316,0.0,0.2219863,0.0041982485
0.3316583,0.0,0.245785,0.0058936873
0.33668342,0.0,0.26870406,0.007898637
0.34170854,0.0,0.2909068,0.009891055
0.34673366,0.0,0.31295598,0.011593404
0.3517588,0.0,0.3353727,0.012871871
0.35678393,0.0,0.35853362,0.01373525
0.36180905,0.0,0.3826809,0.014272814
0.36683416,0.0,0.40794587,0.014589583
0.37185928,0.0,0.43436837,0.014770812
0.37688443,0.0,0.4619205,0.014873837
0.38190955,0.0,0.4905095,0.014933062
0.38693467,0.0,0.5199964,0.0149678765
0.3919598,0.0,0.5502057,0.014988923
0.39698493,0.0,0.5809374,0.015001987
0.40201005,0.0,0.6119797,0.015010293
0.40703517,0.0,0.6431129,0.015015672
0.4120603,0.0,0.6741228,0.015019201
0.41708544,0.0,0.7048006,0.015021542
0.42211056,0.0,0.7349397,0.015023089
0.42713568,0.0,0.7643484,0.015024113
0.4321608,0.0,0.7928375,0.015024793
0.43718594,0.0,0.82022524,0.015025224
0.44221106,0.0,0.8463392,0.015025501
0.44723618,0.0,0.87100494,0.015025667
0.4522613,0.0,0.89406776,0.015025764
0.45728642,0.0,0.9153656,0.015025809
0.46231157,0.0,0.9347575,0.015025824
0.46733668,0.0,0.9521004,0.015025814
0.4723618,0.0,0.9672755,0.015025799
0.47738692,0.0,0.98016405,0.01502578
0.48241207,0.0,0.9906707,0.015025759
0.4874372,0.0,0.9987061,0.015025741
0.4924623,0.0,1.00421,0.015025732
0.49748743,0.0,1.0071292,0.015025723
0.5025126,0.0,1.0074346,0.015025717
0.50753766,0.0,1.0051152,0.015025727
0.5125628,0.0,1.0001761,0.015025735
0.51758796,0.0,0.99264973,0.015025756
0.52261305,0.0,0.9825825,0.015025774
0.5276382,0.0,0.97004515,0.015025797
0.53266335,0.0,0.9551263,0.015025817
0.53768843,0.0,0.937934,0.0150258215
0.5427136,0.0,0.9185894,0.015025812
0.5477387,0.0,0.8972426,0.015025769
0.5527638,0.0,0.8740454,0.015025682
0.55778897,0.0,0.8491764,0.015025526
0.56281406,0.0,0.8228146,0.015025258
0.5678392,0.0,0.79516166,0.015024831
0.5728643,0.0,0.7664208,0.015024175
0.57788944,0.0,0.7368056,0.015023166
0.5829146,0.0,0.7065325,0.015021646
0.5879397,0.0,0.67582035,0.015019359
0.5929648,0.0,0.6448909,0.015015915
0.59799,0.0,0.61396074,0.015010714
0.60301507,0.0,0.58323824,0.015002738
0.6080402,0.0,0.55292654,0.0149903465
0.6130653,0.0,0.5232119,0.014970668
0.61809045,0.0,0.4942615,0.014938627
0.6231156,0.0,0.466219,0.014885097
0.6281407,0.0,0.43918818,0.014793617
0.63316584,0.0,0.4132228,0.014635134
0.6381909,0.0,0.3883077,0.014360485
0.6432161,0.0,0.3643394,0.013892625
0.6482412,0.0,0.34109896,0.013124675
0.6532663,0.0,0.31824142,0.011937802
0.65829146,0.0,0.29529548,0.010260119
0.6633166,0.0,0.27167678,0.008170541
0.6683417,0.0,0.24669898,0.0059681656
0.67336684,0.0,0.21999955,0.004079571
0.67839193,0.0,0.19335234,0.002812737
0.6834171,0.0,0.1714524,0.0021432089
0.68844223,0.0,0.15658998,0.0018229717
0.6934673,0.0,0.1461829,0.0016460641
0.69849247,0.0,0.13681316,0.0015131347
0.7035176,0.0,0.12707698,0.0013966489
0.7085427,0.0,0.1170373,0.0012955171
0.71356785,0.0,0.10692179,0.0012096092
0.71859294,0.0,0.09682536,0.0011370064
0.7236181,0.0,0.08685076,0.0010759206
0.72864324,0.0,0.07716715,0.0010250323
0.7336683,0.0,0.067967534,0.0009831401
0.7386935,0.0,0.0594244,0.0009490279
0.74371856,0.0,0.051656485,0.00092146976
0.7487437,0.0,0.044719815,0.000899306
0.75376886,0.0,0.038614154,0.0008814993
0.75879395,0.0,0.03329563,0.000867165
