epoch,total_loss,loss_u,loss_k,loss_ic,loss_bc,loss_pde
1,0.29133236,0.14235625,0.0018565533,0.14300516,0.0056662154,0.00030473038
2,0.32382977,0.086621284,0.0018823649,0.11590048,0.115177125,0.00613087
3,0.27511042,0.07918326,0.0017580468,0.11570344,0.07936296,0.0008607552
4,0.23077422,0.08410358,0.0017265459,0.1184445,0.024079502,0.0041466355
5,0.25127122,0.10786734,0.0017069865,0.13286386,0.010065184,0.0004748466
6,0.25366628,0.10846037,0.0017390647,0.13060111,0.014555953,4.885041e-05
7,0.2363964,0.08973633,0.0017132584,0.11908321,0.02720425,0.0003726199
8,0.23374161,0.079525776,0.0017905585,0.11480356,0.038256377,0.0011558936
9,0.24213463,0.090771176,0.0016187308,0.11535318,0.034889653,0.0011206274
10,0.23621072,0.08973749,0.0017037345,0.11817119,0.027789645,0.0005123991
11,0.21649161,0.0718837,0.001772946,0.119627945,0.02442143,0.00055853324
12,0.2220698,0.0776204,0.0016098937,0.11826456,0.02495852,0.00122631
13,0.22273822,0.07636538,0.001808941,0.116622515,0.028506221,0.0012441091
14,0.22181779,0.074317046,0.0016946474,0.11645531,0.030400796,0.0006446311
15,0.24553227,0.09937655,0.0017507927,0.11662186,0.02863558,0.00089827774
16,0.22648291,0.08189882,0.001728067,0.11683649,0.02641075,0.0013368496
17,0.2169703,0.07149682,0.0018804691,0.11652895,0.028144771,0.00079975545
18,0.23099472,0.08594699,0.0018023339,0.11613029,0.027942557,0.0009748761
19,0.21052232,0.06619988,0.001820409,0.11586517,0.027276216,0.00118106
20,0.23260474,0.088772945,0.0018524458,0.1157557,0.027000852,0.0010752344
21,0.21972837,0.076122954,0.0018721741,0.11564068,0.0271442,0.00082053465
22,0.22999403,0.08692289,0.0019545616,0.11497142,0.02710624,0.000993473
23,0.21633841,0.07404256,0.0020099008,0.11447958,0.026723156,0.0010931228
24,0.22821806,0.087714,0.0019288515,0.114403374,0.024822738,0.0012779466
25,0.22970136,0.0895541,0.0019983675,0.11369318,0.025404697,0.0010493882
26,0.20338696,0.06258017,0.002107786,0.11195919,0.027826428,0.0010211808
27,0.22163779,0.08512518,0.0021298495,0.11250963,0.022689113,0.0013138669
28,0.20089453,0.065098025,0.0022421374,0.110752374,0.02371408,0.0013300646
29,0.21061674,0.07667901,0.0022409162,0.109237455,0.023249015,0.0014512556
30,0.2037209,0.07224002,0.0024271447,0.10800232,0.022125494,0.0013530618
31,0.18707201,0.05869548,0.0024687331,0.10594202,0.02079243,0.0016420856
32,0.19877754,0.07462366,0.0025307816,0.10403112,0.018227454,0.0018953073
33,0.19082546,0.06945689,0.0028333291,0.10145599,0.018052468,0.0018601187
34,0.17325352,0.057913233,0.0027163557,0.09866955,0.014398046,0.0022726916
35,0.16583097,0.055221558,0.0028133297,0.09545401,0.012746623,0.0024087727
36,0.15361002,0.04804628,0.0028011806,0.09201732,0.010770535,0.0027758759
37,0.15080471,0.05255021,0.0025610179,0.088444196,0.006755341,0.003054966
38,0.13374846,0.039877255,0.0024789553,0.08420162,0.00596761,0.0037019802
39,0.13714847,0.048026964,0.0021974018,0.08012735,0.004288471,0.0047056754
40,0.13427697,0.050700847,0.0018550608,0.07617994,0.0018057689,0.0055904235
41,0.11249629,0.030442543,0.0016676155,0.07253458,0.0026493103,0.0068698525
42,0.11433314,0.036625203,0.0013487026,0.06874988,0.0015108713,0.007447176
43,0.10557352,0.030143607,0.0012556196,0.065924816,0.0011592444,0.008345848
44,0.10930586,0.035421945,0.0011726498,0.06422284,0.0017669782,0.007894089
45,0.09678814,0.026676068,0.00096184015,0.061112236,0.0012006543,0.0077991793
46,0.09485353,0.026996352,0.0008745508,0.059343692,0.0010569965,0.007456487
47,0.08640977,0.020665107,0.0007301105,0.05777955,0.0011014445,0.0068636653
48,0.09272525,0.029537726,0.0006538476,0.055409774,0.0012116228,0.006566123
49,0.08513248,0.02393463,0.00055591104,0.05362615,0.0012562231,0.0063154753
50,0.08460843,0.025328035,0.0004948328,0.0517517,0.0015869288,0.0059417654
51,0.07428971,0.01668828,0.00042147146,0.05008118,0.0014224575,0.006097789
52,0.07378402,0.018038778,0.00034762124,0.048159774,0.002085543,0.0054999236
53,0.073077425,0.018863037,0.0003029181,0.04574368,0.002827152,0.0056435494
54,0.06788897,0.0154644735,0.00023108067,0.04462347,0.002622696,0.005178326
55,0.063886076,0.01266345,0.00018362959,0.044023924,0.0020939102,0.0051047876
56,0.06654846,0.016758239,0.0001737877,0.041866306,0.0031655002,0.004758413
57,0.06482509,0.015173844,0.00014775804,0.03912765,0.0057979147,0.004725677
58,0.06402821,0.01655567,0.00013862383,0.039216362,0.003598314,0.0046578636
59,0.060070284,0.013622213,0.00010850657,0.03777532,0.0042828447,0.004389908
60,0.05832693,0.012633674,0.000104519066,0.036090396,0.0052910494,0.00431181
61,0.05448597,0.010381481,9.361394e-05,0.03585679,0.0041620717,0.0040856246
62,0.049770392,0.0068253656,6.7203706e-05,0.03500361,0.004027362,0.003914054
