epoch,total_loss,loss_u,loss_k
1,0.20993778,0.070038,0.0013768029
2,0.18658754,0.07618318,0.0012449607
3,0.18372072,0.08132307,0.0011916596
4,0.1739146,0.078672916,0.0011732068
5,0.16430439,0.07293823,0.0011701396
6,0.1608638,0.067940466,0.0011727592
7,0.16168098,0.06512053,0.0011707442
8,0.16145937,0.06418354,0.0011566051
9,0.1587804,0.06460194,0.001131138
10,0.15575859,0.06612338,0.0011001348
11,0.15425909,0.06823874,0.0010698377
12,0.1539919,0.06992234,0.0010447806
13,0.15337077,0.07017496,0.0010270934
14,0.15166456,0.06879407,0.0010168233
15,0.14969337,0.06643022,0.0010126281
16,0.14868094,0.064028256,0.0010119501
17,0.14891084,0.062266186,0.001010975
18,0.1495369,0.06133809,0.0010055567
19,0.14965852,0.061133523,0.0009932644
20,0.1492827,0.061514653,0.00097467995
21,0.149052,0.062345877,0.00095273944
22,0.14930916,0.06334393,0.00093108625
23,0.14967464,0.06406539,0.00091261754
24,0.14956516,0.06415474,0.00089870865
25,0.14890623,0.063596375,0.0008891597
26,0.14813827,0.06269157,0.0008825171
27,0.14764768,0.061825942,0.00087648607
28,0.14737535,0.06126584,0.00086858193
29,0.1470074,0.061115414,0.00085710286
30,0.14642553,0.061377488,0.0008419004
31,0.14583051,0.061980676,0.0008243379
32,0.14544725,0.06274257,0.0008065351
33,0.14523612,0.063373834,0.0007904557
34,0.14496326,0.06360162,0.0007772804
35,0.14450037,0.06333282,0.000767193
36,0.14394997,0.06270213,0.0007594774
37,0.14347069,0.06196979,0.00075278134
38,0.14306916,0.06137405,0.00074553414
39,0.14262088,0.061047286,0.0007365231
40,0.14205758,0.061012,0.0007253987
41,0.14145336,0.06120126,0.00071278424
42,0.14091033,0.061470527,0.0006999138
43,0.14041959,0.061629783,0.00068805926
44,0.13988255,0.061523356,0.00067804323
45,0.13924487,0.06111576,0.00066999614
46,0.13854875,0.060508262,0.0006633601
47,0.13784508,0.059871305,0.00065709994
48,0.13710977,0.05935354,0.0006501053
49,0.13628535,0.059029184,0.00064168393
50,0.1353738,0.058888968,0.00063189404
51,0.13443382,0.058846474,0.00062148855
52,0.1334911,0.058758773,0.00061151333
53,0.13250436,0.058485355,0.00060280605
54,0.13143522,0.05796996,0.0005956387
55,0.13030212,0.057277385,0.0005896217
56,0.129132,0.056546755,0.00058388466
57,0.12790129,0.055905152,0.0005774878
58,0.12656891,0.05540833,0.00056991406
59,0.12513791,0.055026934,0.00056135125
60,0.123635724,0.054662716,0.00055255136
61,0.122057386,0.054194614,0.0005443669
62,0.120377265,0.053550597,0.0005372714
63,0.118597716,0.052755423,0.000531128
64,0.11673611,0.051906005,0.0005252906
65,0.114781804,0.05109881,0.0005189897
66,0.11271174,0.05037325,0.0005118141
67,0.1105306,0.04969788,0.00050397293
68,0.10825548,0.048989452,0.0004961304
69,0.10588336,0.04816,0.0004889476
70,0.10341004,0.047177058,0.0004826585
71,0.100854106,0.0460868,0.0004769347
72,0.09823261,0.04497376,0.00047110367
73,0.09554405,0.043897897,0.00046459975
74,0.09279487,0.042861603,0.00045735537
75,0.09000764,0.04181618,0.00044982613
76,0.08719699,0.04069884,0.00044262529
77,0.084372774,0.039483953,0.00043606677
78,0.08155758,0.03820578,0.00042995423
79,0.07877229,0.036926724,0.0004237598
80,0.07602829,0.035687435,0.00041707247
81,0.07334761,0.03448604,0.00040995912
82,0.07075757,0.033291847,0.0004028964
83,0.068272516,0.03208195,0.00039631204
84,0.06590778,0.030874379,0.00039014907
85,0.06368195,0.02971611,0.00038386212
86,0.061601866,0.02863821,0.00037690016
87,0.059675395,0.027634067,0.00036925086
88,0.0579106,0.026673319,0.0003614504
89,0.05630041,0.025733912,0.00035400025
90,0.05483729,0.024825225,0.00034682
91,0.053512424,0.02396947,0.00033934944
92,0.052309316,0.023169639,0.00033121064
93,0.0512142,0.022408025,0.0003226357
94,0.050205175,0.021665316,0.0003140967
95,0.04925847,0.020940548,0.0003056399
96,0.048354242,0.020246156,0.00029684338
97,0.047468647,0.019588888,0.00028746715
98,0.04658327,0.018969044,0.0002778744
99,0.045680795,0.018387621,0.0002685975
100,0.04475143,0.017851159,0.00025968725
101,0.04379547,0.017365195,0.00025076093
102,0.042818267,0.016929062,0.00024162418
103,0.041836627,0.016544022,0.00023254825
104,0.040872518,0.016215147,0.0002238546
105,0.0399534,0.015945436,0.00021550253
106,0.039104518,0.015729625,0.00020727131
107,0.038344085,0.015559985,0.00019917902
108,0.03768228,0.015433099,0.00019147412
109,0.037116155,0.015343076,0.0001842582
110,0.036632564,0.015274522,0.00017735547
111,0.036209892,0.015208316,0.0001706064
112,0.035826705,0.015134728,0.00016410816
113,0.03546455,0.0150506105,0.00015804968
114,0.0351106,0.0149472095,0.0001524407
115,0.034759384,0.014811036,0.00014714485
116,0.03441093,0.014638304,0.00014210865
117,0.034068167,0.014440403,0.0001374112
118,0.033732004,0.0142299775,0.00013308981
119,0.03340165,0.014009328,0.00012905126
120,0.03307395,0.013777184,0.00012520257
121,0.032745495,0.013541474,0.000121569065
122,0.032414295,0.013315177,0.00011820406
123,0.032082345,0.013102686,0.00011505336
124,0.031755105,0.012900269,0.00011200349
125,0.03143972,0.012709911,0.00010902391
