epoch,total_loss,loss_u,loss_k
1,0.21632606,0.07858323,0.0018049171
2,0.21439599,0.077355504,0.0018040895
3,0.21301359,0.07772314,0.001803129
4,0.21290107,0.07818931,0.0018020854
5,0.21285388,0.07832297,0.0018005912
6,0.21278211,0.07831249,0.0017971765
7,0.21258973,0.07825578,0.0017866
8,0.21206297,0.0780388,0.001753836
9,0.2109568,0.07758827,0.0016810675
10,0.20838487,0.07670288,0.0015138208
11,0.2026209,0.0755101,0.0011561947
12,0.19675747,0.07613563,0.0006811967
13,0.18221343,0.06046269,0.00052679057
14,0.17463371,0.061595246,0.0003477342
15,0.17113626,0.060333084,0.0003442261
16,0.16267829,0.056063343,0.00023143656
17,0.15968153,0.058823556,0.00024864532
18,0.15593201,0.056526273,0.00022062716
19,0.14982577,0.05024105,0.0001468197
20,0.14357515,0.047862723,0.00012292882
21,0.13144821,0.042569824,8.802915e-05
22,0.12726317,0.040091842,8.154814e-05
23,0.12564994,0.037003547,7.959436e-05
24,0.12215321,0.037356537,8.229773e-05
25,0.118871406,0.036901314,8.288142e-05
26,0.10950065,0.03490793,9.087496e-05
27,0.104611665,0.030048376,8.861102e-05
28,0.10309427,0.03068719,9.491125e-05
29,0.10195848,0.030352829,9.357835e-05
30,0.09978955,0.029729117,9.2516464e-05
31,0.09587783,0.028062245,9.1950176e-05
32,0.09019068,0.025608238,9.168663e-05
33,0.08834492,0.023169836,8.682341e-05
34,0.086466156,0.023663193,8.744304e-05
35,0.08443683,0.021964664,8.550096e-05
36,0.08423909,0.022250924,8.593072e-05
37,0.08415307,0.022390042,8.605246e-05
38,0.08394134,0.022509662,8.608945e-05
39,0.08276674,0.022670668,8.3755804e-05
40,0.080745205,0.022676827,8.033338e-05
41,0.07858191,0.021397602,6.779465e-05
42,0.07461418,0.02094041,6.875065e-05
43,0.07268268,0.019307526,7.01091e-05
44,0.071744666,0.018067434,6.754635e-05
45,0.07083795,0.017029805,6.661908e-05
46,0.070286326,0.016759088,6.590182e-05
47,0.06870435,0.016569057,6.428529e-05
48,0.067699246,0.016819812,6.511446e-05
49,0.06666088,0.01722041,6.450137e-05
50,0.06571483,0.017181918,6.436798e-05
51,0.064092055,0.016892616,6.2493404e-05
52,0.060905218,0.016192153,5.96473e-05
53,0.0580944,0.014458814,5.7489753e-05
54,0.05490463,0.012957571,5.592762e-05
55,0.05430871,0.011872257,5.6373043e-05
56,0.05364895,0.011363318,5.625777e-05
57,0.051059477,0.010504812,5.6254146e-05
58,0.04857504,0.010197506,5.7401343e-05
59,0.04814838,0.009575629,5.745297e-05
60,0.047331873,0.009705107,5.792031e-05
61,0.046797335,0.010034765,5.8034148e-05
62,0.04653723,0.01014548,5.811847e-05
63,0.04623695,0.01012122,5.8165737e-05
64,0.04580686,0.010251338,5.8274974e-05
65,0.045557305,0.009923485,5.8465368e-05
66,0.045247138,0.009928083,5.882222e-05
67,0.04497602,0.009940386,5.8652593e-05
68,0.044735122,0.009843968,5.8577934e-05
69,0.044657648,0.010069008,5.8044025e-05
70,0.044396788,0.009729045,5.8382335e-05
71,0.044343773,0.009646385,5.853857e-05
72,0.044253577,0.009543106,5.872188e-05
73,0.044057194,0.009411304,5.900561e-05
74,0.044002935,0.009449663,5.9133665e-05
75,0.043705102,0.009384507,5.9437803e-05
76,0.04332298,0.009502703,5.9663835e-05
77,0.042868596,0.009729965,5.971241e-05
78,0.04237615,0.009799773,5.9540638e-05
79,0.04174097,0.009599102,5.9498616e-05
80,0.041106563,0.009073876,5.9178794e-05
81,0.040777273,0.008504902,5.9606195e-05
82,0.040481556,0.008344524,5.973618e-05
83,0.03959255,0.0079428665,6.044735e-05
84,0.0381434,0.0074520824,6.114249e-05
85,0.03791569,0.007539781,6.1750594e-05
86,0.037271574,0.0070971516,6.265387e-05
87,0.03702887,0.006836855,6.2832434e-05
88,0.036840264,0.0067788367,6.2976505e-05
89,0.03651212,0.0068974965,6.4519285e-05
90,0.035374474,0.006634222,6.389959e-05
91,0.03426083,0.0065596867,6.388927e-05
92,0.03330793,0.006575313,6.3825144e-05
93,0.032925725,0.006650876,6.487334e-05
94,0.030434323,0.0060985405,6.508105e-05
95,0.027237436,0.0051980894,6.540546e-05
96,0.026062805,0.005476164,6.6641835e-05
97,0.025425963,0.005206446,6.721622e-05
98,0.02510826,0.004991252,6.728932e-05
99,0.024872063,0.0049108253,6.7776484e-05
100,0.024752289,0.0048481175,6.774501e-05
101,0.024601841,0.0047856895,6.7776455e-05
102,0.02406386,0.0047321804,6.798346e-05
103,0.023073168,0.0045990827,6.860064e-05
104,0.022151759,0.0046451036,7.0104514e-05
105,0.021322682,0.0044703237,7.108877e-05
106,0.020909246,0.004487871,7.03486e-05
107,0.020444024,0.0045582373,7.059704e-05
108,0.019962506,0.004860081,7.144594e-05
109,0.01962332,0.004916,7.125656e-05
110,0.018895367,0.0049547357,7.1605944e-05
111,0.01778449,0.0050324285,7.280485e-05
112,0.01746062,0.0048489426,7.279095e-05
113,0.017019743,0.0047153123,7.284537e-05
114,0.016783496,0.004557538,7.269655e-05
115,0.016531046,0.0045152493,7.2402e-05
116,0.016325302,0.004466815,7.2311836e-05
117,0.015914878,0.00441474,7.2102e-05
118,0.015517128,0.004374143,7.20737e-05
119,0.015191276,0.0043355417,7.20619e-05
120,0.014830794,0.0042933174,7.221998e-05
121,0.014244937,0.004154329,7.1859344e-05
122,0.013985088,0.0041250233,7.165138e-05
123,0.01388731,0.0041496125,7.15941e-05
124,0.013771597,0.0041770036,7.1572525e-05
125,0.013562774,0.004239998,7.163824e-05
126,0.013441554,0.0041583367,7.144977e-05
127,0.0132571375,0.0042366316,7.165459e-05
128,0.013134809,0.004184869,7.202183e-05
129,0.012944799,0.00421112,7.1842325e-05
130,0.012736829,0.0041671228,7.174817e-05
131,0.012540592,0.0041038627,7.1815564e-05
132,0.012364429,0.0040607513,7.175933e-05
133,0.012194257,0.004081754,7.1996124e-05
134,0.012037989,0.0041610277,7.2354596e-05
135,0.0119323125,0.004148172,7.251225e-05
136,0.011665866,0.0040162276,7.27924e-05
137,0.011520926,0.0038451338,7.294051e-05
138,0.011349309,0.00365378,7.2918505e-05
139,0.011240337,0.0035593181,7.2878334e-05
140,0.011123636,0.0034048771,7.297533e-05
141,0.010998659,0.0034080315,7.3073206e-05
142,0.010904085,0.0034324774,7.330641e-05
143,0.0108653605,0.0034369288,7.343807e-05
144,0.010845657,0.0033728052,7.379827e-05
145,0.010764476,0.003358466,7.369284e-05
146,0.010703486,0.003318544,7.364243e-05
147,0.010666964,0.0032808178,7.365575e-05
148,0.010586219,0.0032176443,7.376712e-05
149,0.010491423,0.0031538794,7.404356e-05
150,0.010353926,0.0031420647,7.4299234e-05
151,0.010182059,0.00312599,7.4646065e-05
152,0.009935286,0.0033044089,7.484906e-05
153,0.00987546,0.003294679,7.4924756e-05
154,0.009723134,0.0033931236,7.46128e-05
155,0.009616104,0.0034050622,7.4596705e-05
156,0.009456893,0.003536989,7.4407275e-05
157,0.009258644,0.0035149998,7.462317e-05
158,0.0092003,0.0035663699,7.479955e-05
