epoch,total_loss,loss_u,loss_k
1,0.6240823,0.0783637,0.0031994544
2,0.5628109,0.08477376,0.0033123526
3,0.5437718,0.07928879,0.0031611228
4,0.5489804,0.07758925,0.002972444
5,0.54935557,0.07806278,0.0029178339
6,0.54077816,0.07777342,0.0029310985
7,0.5276996,0.07668839,0.002928584
8,0.5133214,0.07445635,0.002886807
9,0.5032735,0.07236041,0.0028247242
10,0.49918172,0.071602404,0.0027743878
11,0.4977823,0.072274335,0.0027515797
12,0.4966383,0.073821515,0.0027401105
13,0.49384403,0.07476397,0.0027129631
14,0.4881267,0.07402391,0.002659046
15,0.4811812,0.072446644,0.0025888805
16,0.4750015,0.07131824,0.0025235899
17,0.4699105,0.07099997,0.0024785546
18,0.46614248,0.071328156,0.0024506545
19,0.46349397,0.07185091,0.0024236655
20,0.46052378,0.07192676,0.0023850768
21,0.45648214,0.071505904,0.002336887
22,0.45158398,0.07106921,0.0022914896
23,0.44595572,0.07096271,0.0022591567
24,0.4402498,0.071303345,0.0022383626
25,0.43534386,0.07187433,0.0022181896
26,0.43118232,0.072117075,0.002188858
27,0.42739636,0.07184265,0.0021500124
28,0.42376035,0.07148816,0.002109755
29,0.41977,0.07149658,0.0020760603
30,0.41530162,0.07191202,0.0020487835
31,0.41072577,0.07234141,0.0020207248
32,0.40620455,0.07227807,0.00198571
33,0.40194386,0.07175696,0.001944739
34,0.3981006,0.07130452,0.0019045727
35,0.39438975,0.07127526,0.001870662
36,0.3905983,0.07156972,0.0018417363
37,0.38662338,0.0717442,0.0018120877
38,0.38235176,0.07145493,0.0017783259
39,0.37799823,0.070908636,0.0017427775
40,0.3737576,0.070574276,0.0017101385
41,0.36966312,0.070620626,0.0016816044
42,0.365748,0.07073246,0.0016535304
43,0.36183453,0.07044264,0.0016221107
44,0.3578174,0.06978026,0.0015880761
45,0.3537075,0.06921962,0.0015554737
46,0.34950602,0.0690152,0.0015263514
47,0.34535974,0.06892578,0.0014984779
48,0.34130424,0.068549864,0.001468908
49,0.3373267,0.06792003,0.001438175
50,0.3333667,0.06743042,0.0014092603
51,0.3293113,0.06722508,0.001383128
52,0.32517332,0.06700031,0.0013575198
53,0.32096046,0.06644367,0.0013305454
54,0.31675464,0.065742366,0.001303408
55,0.31256604,0.06526481,0.0012781842
56,0.30836272,0.064977154,0.001254488
57,0.30409548,0.064508945,0.0012303386
58,0.29972795,0.0637751,0.0012054899
59,0.29529697,0.06310793,0.0011815846
60,0.29083088,0.06265072,0.001159198
