iter,total_loss,loss_u,loss_k
1,0.0001510179,3.3429944e-05,2.4278546e-07
2,1.7738284,0.5869509,0.00010635214
3,0.0011744798,0.0001136809,2.6711572e-07
4,8.526326e-05,3.1597243e-05,2.0706715e-07
5,8.310016e-05,3.1382224e-05,2.0574478e-07
6,9.856201e-05,3.2918884e-05,2.026896e-07
7,8.2909595e-05,3.1363412e-05,2.0528122e-07
8,8.166475e-05,3.136293e-05,2.0492391e-07
9,7.8297206e-05,3.140882e-05,2.0357218e-07
10,0.00010049918,3.2783144e-05,1.9862996e-07
11,7.7465374e-05,3.149953e-05,2.0258585e-07
12,7.6990065e-05,3.1350002e-05,2.0368927e-07
13,8.451141e-05,3.119617e-05,2.092033e-07
14,7.699002e-05,3.1349286e-05,2.0369494e-07
15,7.681336e-05,3.1270483e-05,2.0406745e-07
16,7.701726e-05,3.101635e-05,2.0561198e-07
17,7.6718614e-05,3.1167358e-05,2.0461309e-07
18,7.6635304e-05,3.1122545e-05,2.0466699e-07
19,7.672377e-05,3.097435e-05,2.0492902e-07
20,7.658906e-05,3.1062074e-05,2.0475437e-07
21,7.652121e-05,3.1049116e-05,2.0442734e-07
22,7.671284e-05,3.1014755e-05,2.0314859e-07
23,7.649928e-05,3.103816e-05,2.0411235e-07
24,7.646425e-05,3.103419e-05,2.0381965e-07
25,7.6486096e-05,3.102645e-05,2.0272203e-07
26,7.644191e-05,3.1029387e-05,2.0335013e-07
27,7.6431286e-05,3.101309e-05,2.0357137e-07
28,7.649492e-05,3.0954525e-05,2.0447705e-07
29,7.643022e-05,3.1005413e-05,2.036819e-07
30,7.6427146e-05,3.100228e-05,2.0366421e-07
31,7.642078e-05,3.0990275e-05,2.0359444e-07
32,7.652602e-05,3.093305e-05,2.0325615e-07
33,7.642085e-05,3.098818e-05,2.0358057e-07
34,7.641634e-05,3.0981824e-05,2.036095e-07
35,7.641227e-05,3.0957486e-05,2.03729e-07
36,7.641104e-05,3.096512e-05,2.0369056e-07
37,7.6407916e-05,3.096351e-05,2.0365322e-07
38,7.640029e-05,3.0957654e-05,2.035045e-07
39,7.6473625e-05,3.0936324e-05,2.0278496e-07
40,7.639948e-05,3.0954794e-05,2.0342569e-07
41,7.640016e-05,3.095928e-05,2.0335354e-07
42,7.6396245e-05,3.0956697e-05,2.0339154e-07
43,7.6395416e-05,3.095685e-05,2.0338153e-07
44,7.6392396e-05,3.0957613e-05,2.0333624e-07
45,7.639706e-05,3.0962507e-05,2.0312099e-07
46,7.6390694e-05,3.0959196e-05,2.0326009e-07
47,7.638742e-05,3.0957068e-05,2.0316294e-07
48,7.639028e-05,3.0949435e-05,2.0277473e-07
49,7.638635e-05,3.0954143e-05,2.0301697e-07
50,7.638387e-05,3.0951058e-05,2.0302417e-07
51,7.637838e-05,3.0938863e-05,2.030546e-07
52,7.643587e-05,3.087977e-05,2.0322722e-07
53,7.6377895e-05,3.0933323e-05,2.0306939e-07
54,7.637363e-05,3.0920306e-05,2.0299755e-07
55,7.6373304e-05,3.09216e-05,2.0300534e-07
56,7.6371376e-05,3.091799e-05,2.0303534e-07
57,7.636726e-05,3.0903568e-05,2.0315635e-07
58,7.6468204e-05,3.0835916e-05,2.0377355e-07
59,7.636717e-05,3.090344e-05,2.0315728e-07
60,7.6363365e-05,3.090042e-05,2.0312972e-07
61,7.636632e-05,3.088863e-05,2.0302093e-07
62,7.636103e-05,3.0895706e-05,2.0308651e-07
63,7.635924e-05,3.087935e-05,2.0320618e-07
64,7.635863e-05,3.0884512e-05,2.0316799e-07
65,7.635683e-05,3.0887684e-05,2.0312523e-07
66,7.635275e-05,3.0900443e-05,2.0295934e-07
67,7.642033e-05,3.097008e-05,2.0214482e-07
68,7.6352895e-05,3.090273e-05,2.0293147e-07
69,7.63524e-05,3.0922165e-05,2.0270187e-07
70,7.635128e-05,3.0912437e-05,2.0281452e-07
71,7.634946e-05,3.0911408e-05,2.0283234e-07
72,7.6346696e-05,3.0907173e-05,2.029016e-07
73,7.634701e-05,3.0907926e-05,2.0289156e-07
74,7.635035e-05,3.089968e-05,2.0284484e-07
75,7.634607e-05,3.0905394e-05,2.0287777e-07
76,7.634548e-05,3.090484e-05,2.0285975e-07
77,7.6344775e-05,3.0902804e-05,2.0278536e-07
78,7.6366276e-05,3.089333e-05,2.0241728e-07
79,7.6344695e-05,3.090271e-05,2.0278277e-07
80,7.63431e-05,3.0902258e-05,2.0277488e-07
81,7.633893e-05,3.0900614e-05,2.0274457e-07
82,7.638929e-05,3.089501e-05,2.025969e-07
83,7.6338874e-05,3.0900137e-05,2.0273417e-07
84,7.633577e-05,3.0901258e-05,2.0266776e-07
85,7.634141e-05,3.0905972e-05,2.0240878e-07
86,7.6334254e-05,3.090257e-05,2.025886e-07
87,7.633153e-05,3.090731e-05,2.0253414e-07
88,7.6326105e-05,3.0926833e-05,2.0231568e-07
89,7.6434175e-05,3.1041593e-05,2.0124934e-07
90,7.6326316e-05,3.0929055e-05,2.0229272e-07
91,7.632333e-05,3.0930452e-05,2.0242936e-07
92,7.63223e-05,3.092985e-05,2.0238433e-07
93,7.631944e-05,3.092773e-05,2.0238429e-07
94,7.632237e-05,3.0920113e-05,2.0238521e-07
95,7.631802e-05,3.0924755e-05,2.0238406e-07
96,7.63146e-05,3.091922e-05,2.024236e-07
97,7.633677e-05,3.089857e-05,2.0258646e-07
98,7.631448e-05,3.0916883e-05,2.0244147e-07
99,7.631016e-05,3.0919433e-05,2.0241822e-07
100,7.6309574e-05,3.0930878e-05,2.023264e-07
101,7.630643e-05,3.0925232e-05,2.0237006e-07
102,7.630407e-05,3.0920943e-05,2.0240562e-07
103,7.633872e-05,3.0905558e-05,2.025562e-07
104,7.6304226e-05,3.0920706e-05,2.0240792e-07
105,7.630192e-05,3.09256e-05,2.0233108e-07
106,7.6304714e-05,3.09455e-05,2.0202518e-07
107,7.630085e-05,3.0932377e-05,2.0222483e-07
108,7.630102e-05,3.093941e-05,2.0221819e-07
109,7.630019e-05,3.0935378e-05,2.0222214e-07
110,7.62993e-05,3.0935236e-05,2.0222397e-07
111,7.6297714e-05,3.093486e-05,2.022349e-07
112,7.6308825e-05,3.0933486e-05,2.0228882e-07
113,7.6297576e-05,3.0934527e-05,2.0224361e-07
114,7.6293916e-05,3.0931595e-05,2.0217948e-07
115,7.630426e-05,3.092071e-05,2.0192235e-07
116,7.6292985e-05,3.092909e-05,2.0212022e-07
117,7.629117e-05,3.0925723e-05,2.0215191e-07
118,7.629034e-05,3.0912815e-05,2.022805e-07
119,7.6289645e-05,3.0917654e-05,2.0223077e-07
120,7.628671e-05,3.091096e-05,2.0225448e-07
121,7.628291e-05,3.0884476e-05,2.0235018e-07
122,7.628254e-05,3.0889754e-05,2.0233114e-07
123,7.6279e-05,3.089731e-05,2.0216937e-07
124,7.628983e-05,3.092913e-05,2.01523e-07
125,7.627771e-05,3.0904463e-05,2.0201561e-07
126,7.627354e-05,3.090886e-05,2.0194912e-07
127,7.63213e-05,3.0929164e-05,2.0168572e-07
128,7.6273835e-05,3.090942e-05,2.0194004e-07
129,7.627086e-05,3.090725e-05,2.0189788e-07
130,7.627327e-05,3.0899e-05,2.0172574e-07
131,7.62691e-05,3.0904022e-05,2.0183082e-07
132,7.626529e-05,3.0890522e-05,2.0188186e-07
133,7.627565e-05,3.08382e-05,2.0209039e-07
134,7.626368e-05,3.087684e-05,2.0193563e-07
135,7.625928e-05,3.0873554e-05,2.0185855e-07
136,7.627545e-05,3.0862306e-05,2.015531e-07
137,7.625803e-05,3.0871182e-05,2.0179698e-07
138,7.625337e-05,3.085868e-05,2.0183312e-07
139,7.6280034e-05,3.08116e-05,2.0198937e-07
140,7.625292e-05,3.08522e-05,2.0185293e-07
141,7.625242e-05,3.084613e-05,2.0179303e-07
142,7.625176e-05,3.0848252e-05,2.0181385e-07
143,7.625068e-05,3.0848067e-05,2.0178192e-07
144,7.624811e-05,3.084755e-05,2.016555e-07
145,7.628573e-05,3.084749e-05,2.0103043e-07
146,7.624806e-05,3.0847514e-05,2.0162348e-07
147,7.624564e-05,3.0847637e-05,2.0161272e-07
148,7.626363e-05,3.0848787e-05,2.015707e-07
149,7.6245415e-05,3.0847757e-05,2.0160853e-07
150,7.6244134e-05,3.084744e-05,2.0157431e-07
151,7.6242104e-05,3.0846324e-05,2.0144333e-07
152,7.629374e-05,3.0843716e-05,2.0081988e-07
153,7.6241944e-05,3.0846255e-05,2.014396e-07
154,7.623869e-05,3.084306e-05,2.0140698e-07
155,7.623476e-05,3.0830353e-05,2.0127717e-07
156,7.6234384e-05,3.0833526e-05,2.0130902e-07
157,7.622809e-05,3.080784e-05,2.0144216e-07
158,7.624307e-05,3.070946e-05,2.01987e-07
159,7.6225886e-05,3.078115e-05,2.0158494e-07
160,7.6223405e-05,3.0763294e-05,2.0144961e-07
161,7.622235e-05,3.0769188e-05,2.014952e-07
162,7.6220225e-05,3.0767755e-05,2.0146597e-07
163,7.622134e-05,3.0762018e-05,2.0135025e-07
164,7.621874e-05,3.0765328e-05,2.0141731e-07
165,7.621598e-05,3.0767507e-05,2.0131051e-07
166,7.622512e-05,3.0777286e-05,2.0089084e-07
167,7.6215336e-05,3.076937e-05,2.0122003e-07
168,7.6213386e-05,3.076457e-05,2.0124358e-07
169,7.6225726e-05,3.0745457e-05,2.0133743e-07
170,7.621298e-05,3.0762134e-05,2.0125499e-07
171,7.621114e-05,3.076292e-05,2.011956e-07
172,7.6220706e-05,3.076666e-05,2.0096796e-07
173,7.6210825e-05,3.076331e-05,2.0116248e-07
174,7.620981e-05,3.076466e-05,2.0118256e-07
175,7.622324e-05,3.0771665e-05,2.0126639e-07
176,7.620991e-05,3.0764706e-05,2.011834e-07
177,7.620858e-05,3.0763094e-05,2.0120525e-07
178,7.6206525e-05,3.0757015e-05,2.0129367e-07
179,7.620675e-05,3.075754e-05,2.0128742e-07
180,7.620492e-05,3.0755837e-05,2.0126333e-07
181,7.621752e-05,3.0749634e-05,2.0116511e-07
182,7.620493e-05,3.0755135e-05,2.0125358e-07
183,7.620339e-05,3.075461e-05,2.012735e-07
184,7.620071e-05,3.0752923e-05,2.013555e-07
185,7.623492e-05,3.0745843e-05,2.0179507e-07
186,7.620068e-05,3.0752264e-05,2.0138803e-07
187,7.619648e-05,3.0752224e-05,2.0140916e-07
188,7.6196084e-05,3.0752344e-05,2.0148806e-07
189,7.6192824e-05,3.0752148e-05,2.0144958e-07
190,7.618946e-05,3.0764473e-05,2.013448e-07
191,7.619285e-05,3.081496e-05,2.0093148e-07
192,7.6187505e-05,3.078313e-05,2.0118834e-07
193,7.618524e-05,3.0787596e-05,2.0127375e-07
194,7.618497e-05,3.078647e-05,2.0125249e-07
195,7.618289e-05,3.0785708e-05,2.0125985e-07
196,7.618324e-05,3.0782798e-05,2.0129183e-07
197,7.618097e-05,3.0784206e-05,2.0127509e-07
198,7.617895e-05,3.0779942e-05,2.0135215e-07
199,7.619374e-05,3.0763327e-05,2.0166705e-07
200,7.6178505e-05,3.0777835e-05,2.0139018e-07
201,7.617677e-05,3.078124e-05,2.0134347e-07
202,7.618412e-05,3.079549e-05,2.0116184e-07
203,7.617667e-05,3.078358e-05,2.0131463e-07
204,7.617501e-05,3.0781874e-05,2.0134058e-07
205,7.61854e-05,3.077559e-05,2.0144967e-07
206,7.617504e-05,3.0781077e-05,2.0135255e-07
207,7.617432e-05,3.0778985e-05,2.0132167e-07
208,7.617418e-05,3.077891e-05,2.013224e-07
209,7.617329e-05,3.077938e-05,2.0129895e-07
210,7.617238e-05,3.078134e-05,2.0120743e-07
211,7.617235e-05,3.0780742e-05,2.0123451e-07
212,7.617111e-05,3.0779865e-05,2.0125427e-07
213,7.617616e-05,3.077667e-05,2.0133422e-07
214,7.617117e-05,3.0779356e-05,2.0126772e-07
215,7.617036e-05,3.077893e-05,2.0124973e-07
216,7.616846e-05,3.077726e-05,2.0118001e-07
217,7.619397e-05,3.0770174e-05,2.00837e-07
218,7.616807e-05,3.0776766e-05,2.0115804e-07
219,7.616578e-05,3.0774387e-05,2.0115883e-07
220,7.6170254e-05,3.076525e-05,2.0116074e-07
221,7.616493e-05,3.077157e-05,2.0115857e-07
222,7.616312e-05,3.0763204e-05,2.0121031e-07
223,7.615948e-05,3.073043e-05,2.0141587e-07
224,7.6237935e-05,3.0578263e-05,2.0246819e-07
225,7.615923e-05,3.0728064e-05,2.0143078e-07
226,7.615624e-05,3.0717994e-05,2.0129228e-07
227,7.615601e-05,3.071983e-05,2.0131762e-07
228,7.615293e-05,3.071841e-05,2.0127894e-07
229,7.6156044e-05,3.0713243e-05,2.0112711e-07
230,7.615112e-05,3.071627e-05,2.0122205e-07
231,7.614856e-05,3.0717612e-05,2.0111514e-07
232,7.616113e-05,3.072416e-05,2.0069751e-07
233,7.614825e-05,3.0718595e-05,2.010481e-07
234,7.6146505e-05,3.0712625e-05,2.0107403e-07
235,7.615406e-05,3.0689975e-05,2.0117903e-07
236,7.6146156e-05,3.0708736e-05,2.0109056e-07
237,7.614499e-05,3.0707182e-05,2.0104872e-07
238,7.615723e-05,3.0700565e-05,2.0088224e-07
239,7.614492e-05,3.0706706e-05,2.0103715e-07
240,7.6144206e-05,3.070588e-05,2.010481e-07
241,7.614668e-05,3.0703293e-05,2.0109353e-07
242,7.614384e-05,3.070521e-05,2.0105904e-07
243,7.6142176e-05,3.070013e-05,2.0108209e-07
244,7.614324e-05,3.0680203e-05,2.0117497e-07
245,7.614181e-05,3.069164e-05,2.0112071e-07
246,7.614003e-05,3.0689145e-05,2.010839e-07
247,7.614393e-05,3.0679206e-05,2.0093636e-07
248,7.613958e-05,3.06868e-05,2.0104973e-07
249,7.613875e-05,3.0684587e-05,2.0106073e-07
250,7.613616e-05,3.067549e-05,2.0110339e-07
251,7.61682e-05,3.0632433e-05,2.0132633e-07
252,7.613595e-05,3.0672483e-05,2.011192e-07
253,7.613299e-05,3.0665502e-05,2.0109536e-07
254,7.613724e-05,3.0638163e-05,2.0100272e-07
255,7.61313e-05,3.0656156e-05,2.0106346e-07
256,7.612783e-05,3.0658037e-05,2.0098452e-07
257,7.6122116e-05,3.066729e-05,2.0067208e-07
258,7.612238e-05,3.0666753e-05,2.0069386e-07
259,7.611872e-05,3.0646537e-05,2.0090158e-07
260,7.6117925e-05,3.0652183e-05,2.0084096e-07
261,7.6114346e-05,3.0641797e-05,2.0088584e-07
262,7.612012e-05,3.0601215e-05,2.0106786e-07
263,7.611263e-05,3.0628504e-05,2.0094379e-07
264,7.6109056e-05,3.061882e-05,2.0105733e-07
265,7.6125056e-05,3.058201e-05,2.015249e-07
266,7.610851e-05,3.0612406e-05,2.0113522e-07
267,7.610582e-05,3.0615418e-05,2.0110356e-07
268,7.611321e-05,3.062832e-05,2.0097363e-07
269,7.610466e-05,3.0618434e-05,2.0107042e-07
270,7.610165e-05,3.0619012e-05,2.0111273e-07
271,7.612472e-05,3.0622523e-05,2.0128464e-07
272,7.610134e-05,3.0619314e-05,2.0112739e-07
273,7.609894e-05,3.0620933e-05,2.0109152e-07
274,7.610948e-05,3.062954e-05,2.0094635e-07
275,7.609856e-05,3.062209e-05,2.0106626e-07
276,7.609521e-05,3.063033e-05,2.0100983e-07
277,7.610625e-05,3.066606e-05,2.007889e-07
278,7.609435e-05,3.063753e-05,2.0096265e-07
279,7.609263e-05,3.063912e-05,2.0100683e-07
280,7.609815e-05,3.0645497e-05,2.0118667e-07
281,7.609188e-05,3.0640655e-05,2.0104832e-07
282,7.6090626e-05,3.0642484e-05,2.0103751e-07
283,7.608745e-05,3.0649637e-05,2.009921e-07
284,7.613248e-05,3.0688207e-05,2.0077202e-07
285,7.608738e-05,3.0651532e-05,2.0097985e-07
286,7.608393e-05,3.065443e-05,2.010133e-07
287,7.609032e-05,3.0667135e-05,2.0115371e-07
288,7.60825e-05,3.065823e-05,2.0105558e-07
289,7.607887e-05,3.0651503e-05,2.0111752e-07
290,7.6071025e-05,3.0625444e-05,2.0136756e-07
291,7.619879e-05,3.0517742e-05,2.0266843e-07
292,7.607081e-05,3.0620155e-05,2.0142144e-07
293,7.606409e-05,3.0619598e-05,2.0116575e-07
294,7.6064185e-05,3.061958e-05,2.011983e-07
295,7.605831e-05,3.06191e-05,2.01125e-07
296,7.60744e-05,3.0619387e-05,2.0084421e-07
