epoch,total_loss,loss_u,loss_k
1,0.4783702,0.07478024,0.0017371062
2,0.45660472,0.09389952,0.0016476649
3,0.42791933,0.075574666,0.0015283833
4,0.37858695,0.054414436,0.0014387497
5,0.37792587,0.06269335,0.0013457374
6,0.3782299,0.08378205,0.0012055053
7,0.35314402,0.06914064,0.0010887696
8,0.34645098,0.06966919,0.0010367134
9,0.34692496,0.07737908,0.00097002403
10,0.31745908,0.05628894,0.0008928108
11,0.31166875,0.06120784,0.00078699185
12,0.30402082,0.061807342,0.0007054247
13,0.29640722,0.06532399,0.00060703076
14,0.30054116,0.068163395,0.0006186707
15,0.2939655,0.074405566,0.00050400174
16,0.27118474,0.061151925,0.00041098014
17,0.28091726,0.07376663,0.00039417032
18,0.27673554,0.072707765,0.00037848382
19,0.25971824,0.063684866,0.00030580797
20,0.257356,0.06366799,0.00030284986
21,0.2563807,0.06990559,0.00024758308
22,0.2554315,0.0692135,0.00026147207
23,0.24760485,0.06947412,0.00020286623
24,0.23070967,0.05318613,0.00021795012
25,0.2317048,0.05834941,0.00019651889
26,0.23402512,0.062529586,0.0001923013
27,0.21503623,0.047374714,0.00017454181
28,0.22237796,0.058358554,0.00015403968
29,0.20353536,0.043507002,0.00012885281
30,0.20628862,0.04432244,0.00013468313
31,0.20939027,0.048318587,0.0001253595
32,0.19843304,0.040977754,0.00012605374
33,0.1931214,0.03372126,0.00012054477
34,0.20127958,0.045248043,0.00011460071
35,0.19998693,0.046034444,9.798565e-05
36,0.2047463,0.050405283,0.00011149131
37,0.19705671,0.043509346,0.00010874681
38,0.1979909,0.044580135,0.00010789832
39,0.20949298,0.054600406,9.1950475e-05
40,0.19505654,0.04245675,9.6369666e-05
41,0.20862845,0.05789318,9.0753405e-05
42,0.19476202,0.043328572,9.700474e-05
43,0.19851118,0.05109223,8.3276e-05
44,0.19210923,0.042747688,9.541675e-05
45,0.18575731,0.036467656,9.170456e-05
46,0.1896331,0.044118688,8.4679974e-05
47,0.19569175,0.050389968,9.0015965e-05
48,0.18405068,0.040699963,7.7480894e-05
49,0.19197214,0.0493038,7.187723e-05
50,0.18450522,0.036077783,7.95443e-05
51,0.19682114,0.046923667,7.320425e-05
52,0.1773941,0.035169225,8.041949e-05
53,0.177912,0.03862627,8.5507265e-05
54,0.1858164,0.048921045,7.346838e-05
55,0.17097552,0.033038154,7.366217e-05
56,0.1760255,0.040440578,7.487047e-05
57,0.1789775,0.044192564,7.288048e-05
58,0.17039622,0.036031645,7.581906e-05
59,0.17376378,0.041456364,7.28786e-05
60,0.1655486,0.03568397,7.120633e-05
61,0.15992707,0.031987943,7.4354706e-05
62,0.15591037,0.027991524,7.607544e-05
63,0.15587196,0.028326454,6.998429e-05
64,0.15454347,0.02902855,7.3750045e-05
65,0.14725241,0.024528744,7.58991e-05
66,0.14409563,0.024560547,7.9098085e-05
67,0.1449281,0.027907453,7.5462995e-05
68,0.14000589,0.024275795,8.226758e-05
69,0.13859424,0.024880279,7.906522e-05
70,0.13431318,0.022922566,7.503093e-05
71,0.1419445,0.031739317,7.658095e-05
72,0.13670003,0.028708424,7.855226e-05
73,0.13297944,0.027009599,7.753266e-05
74,0.1277435,0.024688816,6.726955e-05
75,0.12664208,0.024927264,7.525356e-05
76,0.120263845,0.021090806,6.849897e-05
77,0.112514734,0.014802601,7.539022e-05
78,0.1161308,0.020183854,6.724166e-05
79,0.10967328,0.014965623,7.462621e-05
80,0.10823726,0.013033415,7.4567644e-05
81,0.111990064,0.01807821,7.645862e-05
82,0.10252947,0.016334027,6.437852e-05
83,0.09982548,0.016736489,6.2296174e-05
84,0.097603135,0.01539902,7.6605334e-05
85,0.09436115,0.014623513,7.0132985e-05
86,0.092994116,0.015035698,7.0924565e-05
