epoch,total_loss,loss_u,loss_k
1,0.33765215,0.07397482,0.00089136226
2,0.34392026,0.09984674,0.000725525
3,0.30993646,0.07167907,0.00066898944
4,0.28995273,0.076761134,0.0004991724
5,0.27701536,0.073494464,0.0004348304
6,0.2701366,0.074234754,0.0004006338
7,0.2674132,0.07891324,0.00028810368
8,0.24990636,0.069052115,0.0002383581
9,0.24376878,0.066128545,0.0002223775
10,0.25998333,0.085254714,0.00018252905
11,0.24989241,0.07476129,0.00018421396
12,0.24887204,0.07701441,0.00016717278
13,0.23470774,0.06270541,0.0001708535
14,0.24452913,0.0757435,0.00013916839
15,0.23224309,0.06532297,0.0001214158
16,0.23376787,0.065758355,0.0001101101
17,0.2367902,0.072679944,9.795325e-05
18,0.22538634,0.057906188,0.00013318726
19,0.2190747,0.056643233,9.3859344e-05
20,0.23466608,0.07157938,0.00010144721
21,0.2400351,0.07712931,0.00010530522
22,0.22447821,0.064030014,8.336161e-05
23,0.21447626,0.055597745,8.085609e-05
24,0.22724934,0.06871603,7.9330035e-05
25,0.21712941,0.06058621,7.3418494e-05
26,0.21632236,0.06032792,7.33012e-05
27,0.21166207,0.05635295,7.9983874e-05
28,0.21092287,0.057656184,7.112704e-05
29,0.21158116,0.05896956,7.670672e-05
30,0.2125993,0.06301754,6.289965e-05
31,0.21677116,0.068307966,7.566517e-05
32,0.20478147,0.059134196,6.429085e-05
33,0.19938712,0.05551331,6.384694e-05
34,0.18557027,0.043081798,5.4553748e-05
35,0.19815195,0.056369234,6.332845e-05
36,0.20259221,0.061276924,6.831932e-05
37,0.19140078,0.051125508,5.8255446e-05
38,0.18730915,0.047508527,5.990829e-05
39,0.18510802,0.045067776,5.6913217e-05
40,0.19179201,0.052083828,6.0450464e-05
41,0.19090793,0.048540358,5.2844985e-05
42,0.19636303,0.052566472,5.6148496e-05
43,0.19434677,0.05174006,5.4342683e-05
44,0.18330747,0.03866363,5.3344444e-05
45,0.18317476,0.04192592,4.8444086e-05
46,0.1851908,0.04309905,4.965853e-05
47,0.18209577,0.040576447,5.0624294e-05
48,0.18183121,0.04348758,4.9254046e-05
49,0.18505706,0.046040535,4.8997124e-05
50,0.17755598,0.036483537,4.8091188e-05
51,0.17937697,0.038238052,4.7650654e-05
52,0.18444148,0.045405284,4.9253824e-05
53,0.17956161,0.041897077,4.969917e-05
54,0.18087098,0.04554292,4.913573e-05
55,0.18509221,0.049309902,5.2779047e-05
56,0.18596439,0.041897207,5.649326e-05
57,0.18969665,0.04408244,5.2920394e-05
58,0.18293512,0.041754346,4.7679758e-05
59,0.18132561,0.04536014,5.1703082e-05
60,0.18017492,0.045377925,5.3019263e-05
61,0.17050612,0.037854556,4.8780163e-05
62,0.1716632,0.039693147,4.4788314e-05
63,0.1676908,0.03565772,4.791651e-05
