step,loss_pde,loss_bc,loss_u,loss_q
0,6209097.0,0.21516296,0.4646508,20365.002
0,8192025.5,0.22353302,0.4824369,20354.844
250,999.597,0.7953938,0.9161447,18348.86
500,107.60585,0.527354,0.6305952,15146.192
750,45.617744,0.70534843,0.73997235,10431.949
1000,252.33469,0.7048408,0.7617931,6617.229
1250,17.129332,0.7921727,0.81484246,4286.1113
1500,8.580058,0.8338602,0.8244366,2830.5044
1750,10.191745,0.77578664,0.81119716,1912.4418
2000,3.577423,0.7234203,0.8037864,1344.945
2250,2.8452682,0.627115,0.7701194,983.77374
2500,1.4716467,0.5299144,0.7209324,740.9764
2750,1.0365325,0.45591423,0.6836458,570.87445
3000,0.756423,0.40142632,0.6567986,447.35068
3250,0.56149846,0.36160675,0.6378199,356.10306
3500,0.422747,0.32986122,0.6228131,288.29584
3750,0.42850935,0.30170327,0.60847765,237.27113
4000,0.7419217,0.27596936,0.593982,198.11794
4250,12.053902,0.25347438,0.58029276,167.23062
4500,1.1975793,0.23053746,0.56531394,142.17188
4750,0.5207914,0.21124226,0.55154675,121.35866
5000,0.11813198,0.19407608,0.538477,103.61289
5250,0.7505246,0.17872052,0.525966,88.17248
5500,3.9380696,0.16527034,0.51424456,74.58007
5750,0.33887663,0.15337679,0.50343436,62.566288
6000,0.04401461,0.14260004,0.49332067,52.041203
6250,0.030173006,0.13314186,0.48414072,42.91632
6500,0.02582519,0.12483887,0.47570708,35.033264
6750,0.4544169,0.117459334,0.46810406,28.287632
7000,20.904522,0.11076305,0.46095237,22.645163
7250,24.650244,0.10508443,0.45481363,18.065254
7500,0.1283579,0.10007504,0.44910407,14.4102125
7750,11.741758,0.09514652,0.4436127,11.519734
8000,6.275404,0.09105236,0.43860847,9.233101
8250,29.255186,0.08694415,0.43387827,7.4443607
8500,8.915407,0.0833808,0.4296557,6.0471582
8750,5.859744,0.07967102,0.42512834,4.9524727
9000,2.8484478,0.076544434,0.42148954,4.0992026
9250,13.434301,0.07354235,0.41789043,3.4301383
9500,1.4441344,0.070523605,0.41423407,2.8990703
9750,12.353755,0.067691125,0.4109215,2.473781
10000,15.803537,0.06508582,0.4076293,2.1293204
10250,5.96791,0.06276526,0.40467125,1.8471801
10500,0.14052962,0.060523186,0.40185937,1.614263
10750,1.287753,0.058392935,0.39912426,1.418753
11000,4.123219,0.0564833,0.3967131,1.2543209
11250,0.40547913,0.054619726,0.3942522,1.1134598
11500,2.5448513,0.05288223,0.39159748,0.99337757
11750,22.887796,0.05129479,0.38976675,0.8891101
12000,3.4191165,0.04981818,0.387802,0.7986935
12250,17.801567,0.04838317,0.38579482,0.71991694
12500,13.983018,0.047060043,0.38399434,0.65100634
12750,13.757617,0.04580249,0.38195238,0.5919822
13000,1.9459532,0.044816617,0.3808159,0.53770566
13250,12.909725,0.043703433,0.37930146,0.490893
13500,3.974705,0.042735472,0.37765414,0.44939482
13750,0.011610517,0.04181423,0.37637195,0.4128332
14000,0.19728799,0.04093567,0.37505728,0.38048705
14250,5.1389585,0.04015672,0.37388405,0.3516142
14500,0.16372605,0.03933465,0.37267736,0.32567036
14750,25.139055,0.038511142,0.37134114,0.30264375
15000,29.652205,0.038040046,0.37067062,0.28195515
15250,0.05302843,0.037285667,0.36939773,0.26330164
15500,0.16188465,0.036670152,0.3684141,0.24658456
15750,11.70426,0.03614634,0.36752838,0.23154388
16000,0.8312691,0.035526372,0.3666007,0.21786073
16250,23.066824,0.03502429,0.3659873,0.2058909
16500,19.955534,0.034390025,0.36491156,0.19425522
16750,0.24697341,0.034027852,0.3642619,0.18406567
17000,0.62965757,0.033530783,0.36337435,0.17472777
17250,7.4908485,0.033127375,0.36264768,0.16639893
17500,3.0192487,0.03267351,0.3621695,0.15861313
17750,0.26967418,0.032308944,0.36142868,0.15118888
18000,0.7050706,0.03191031,0.36078018,0.14454666
18250,0.2337624,0.0315381,0.3600506,0.13837802
18500,2.6750426,0.031167936,0.35952145,0.13280703
18750,13.045357,0.030890178,0.35908476,0.12748775
19000,28.584932,0.030572452,0.35808957,0.1233096
19250,0.20335783,0.0301616,0.35783014,0.11801797
19500,0.23338486,0.029859476,0.35724765,0.113778375
19750,1.1304995,0.029494967,0.3564935,0.10984164
20000,0.2127755,0.029254481,0.35623837,0.10604164
20250,1.5436891,0.028976396,0.3557531,0.10253385
20500,0.45843777,0.028675733,0.35525003,0.09921666
20750,3.1085575,0.028392296,0.35477456,0.09609492
21000,10.674089,0.02809948,0.35423663,0.09331048
