step,loss_pde,loss_bc,loss_u,loss_q
0,110589.35,1.0788507,1.1825384,20832.293
100,178.23108,1.4136032,1.2821354,19818.613
200,70.99423,1.6697925,1.7780808,19307.729
300,77.52562,1.0422729,1.5660497,18528.889
400,120.51517,0.5591709,1.2226592,16477.6
500,127.51503,0.5346533,1.195261,13390.666
600,152.37141,0.5826599,1.0905774,11091.124
700,140.56415,0.60766804,1.0527227,10043.934
800,71.2368,0.625416,1.0984064,8938.223
900,74.306206,0.7362235,1.1716803,8111.986
1000,44.68946,0.56580687,1.0841029,7402.393
1100,42.135754,0.4443817,1.003016,6802.057
1200,39.20589,0.3806795,0.9455375,6281.6216
1300,104.52918,0.32828468,0.92105937,5839.6914
1400,131.10771,0.29390657,0.9266955,5447.135
1500,149.44954,0.2644955,0.8956387,5096.814
1600,57.588142,0.22679256,0.8304799,4786.708
1700,348.85822,0.19083181,0.7362172,4484.739
1800,29.274414,0.16237006,0.7219176,4212.1357
1900,49.653786,0.14551648,0.7032058,3976.4902
2000,24.606752,0.120762154,0.675841,3742.0286
2100,407.50928,0.119296014,0.65109736,3516.0444
2200,20.889414,0.11722027,0.62595224,3315.6167
2300,146.88728,0.11515634,0.62653834,3143.6052
2400,18.896627,0.10498054,0.6085662,2982.2036
2500,40.44956,0.10357132,0.5879648,2824.9346
2600,17.564453,0.09417059,0.58203626,2671.4585
2700,16.794651,0.08508162,0.56135625,2523.3464
2800,15.980412,0.078478925,0.54597247,2389.1804
2900,15.094302,0.07405629,0.5337063,2266.942
3000,16.379011,0.07675114,0.5073214,2142.5884
3100,12.906844,0.07842559,0.49336138,2025.4181
3200,14.477934,0.07620049,0.48608932,1908.0577
3300,12.43019,0.07294129,0.48196557,1794.7435
3400,12.199049,0.07424252,0.4797315,1705.7517
3500,11.134176,0.07022225,0.47184414,1617.6892
3600,10.796962,0.065562256,0.46568525,1538.1613
3700,10.530726,0.06952896,0.45611882,1466.2898
3800,24.046396,0.068730995,0.45359606,1406.5415
3900,9.659443,0.063811824,0.44751108,1351.4437
4000,9.409178,0.06408524,0.44196916,1298.5045
4100,9.385659,0.060527105,0.43621013,1245.5015
4200,9.405804,0.059949227,0.43110675,1198.8829
4300,8.598308,0.06217503,0.42565468,1159.9972
4400,14.659197,0.06684582,0.42427778,1125.792
4500,7.9363112,0.06717855,0.41665024,1092.1675
4600,299.43723,0.07259256,0.41282344,1061.6929
4700,7.3669844,0.071319096,0.40990132,1033.9454
4800,7.404092,0.073274024,0.40553764,1005.4665
4900,187.42007,0.07238034,0.40341696,976.1767
5000,6.9494443,0.07651188,0.40443504,950.03076
5100,6.8743114,0.080099195,0.40529275,923.5
5200,6.803917,0.08135231,0.4040049,900.348
5300,6.691959,0.084433176,0.40447542,876.71497
5400,6.5615015,0.08548749,0.40360254,855.84656
5500,15.308171,0.08796751,0.40527257,839.12036
5600,5.914071,0.08745271,0.4031047,823.0658
5700,5.7570243,0.08857784,0.40296364,809.0881
5800,5.4670486,0.09034359,0.4044672,797.3256
5900,5.5360055,0.09181795,0.40483698,785.46173
6000,5.2582955,0.09427557,0.4061079,774.2344
6100,5.044671,0.096067965,0.40694392,764.637
6200,5.0470886,0.09668398,0.40797088,756.0925
6300,4.6979423,0.09862916,0.409673,747.9332
6400,6.1843185,0.10014843,0.41096333,740.3326
6500,4.489206,0.09959045,0.4109021,734.00977
6600,4.6635942,0.099094525,0.4124449,728.6961
6700,8.620908,0.09940848,0.4133184,724.0679
6800,4.0882087,0.099242575,0.4136436,719.59686
6900,4.1783633,0.09993437,0.41534713,715.95715
7000,9.531656,0.09888548,0.41423285,712.2661
7100,23.197426,0.09835002,0.41493297,709.02045
7200,6.0610595,0.1003172,0.41717634,706.2402
7300,3.6232371,0.09979615,0.4168245,703.5422
7400,3.5416894,0.100218445,0.41731724,701.27057
7500,4.358223,0.100252435,0.41736495,699.0873
7600,3.3884642,0.10036347,0.41787183,697.21313
7700,5.364344,0.100689135,0.41802666,695.6132
7800,3.228261,0.10075447,0.41758302,693.9932
7900,12.717458,0.10012487,0.41777405,692.6212
8000,3.0598328,0.10074384,0.41731617,691.3429
8100,3.5013626,0.10075085,0.4168643,690.2356
8200,10.460885,0.1007362,0.41670758,689.13464
8300,2.8237627,0.10012147,0.41638228,688.1033
8400,2.7527914,0.099974096,0.41591364,687.19946
8500,2.6887407,0.09944174,0.4153077,686.2545
8600,4.7697816,0.09868922,0.41482946,685.37164
8700,2.7324018,0.09862253,0.41432995,684.4895
8800,6.7416286,0.09875271,0.4143541,683.6495
8900,2.5019042,0.09784911,0.41319934,682.7757
9000,16.069899,0.097964324,0.41284293,681.86707
9100,2.4341338,0.09730464,0.4119752,681.03485
9200,2.4173317,0.0971559,0.41130692,680.17224
9300,2.3823519,0.097036965,0.41049013,679.26215
9400,2.335604,0.09728843,0.4096148,678.37885
9500,3.1968737,0.09750925,0.40903234,677.4447
9600,2.3080778,0.09806868,0.40754303,676.42206
9700,2.2345347,0.09884695,0.40625322,675.35736
9800,2.2259076,0.09945301,0.40490115,674.18585
9900,2.204804,0.10018172,0.4036478,673.06525
10000,19.73063,0.09953064,0.40212923,671.8266
