step,loss_pde,loss_bc,loss_u,loss_q
0,0.2995222,0.008748317,0.22303209,23989.494
100,21.470676,5.2362,3.4338288,23414.37
200,16.392363,15.224081,9.539572,22768.256
300,12.283041,23.37356,14.601675,22553.033
400,8.619651,27.866488,17.438501,22446.12
500,10.234584,31.136972,19.496532,22382.168
600,9.7431,31.565788,19.879843,22328.232
700,7.7797728,33.253532,20.975601,22281.79
800,10.789241,34.54769,21.76528,22238.357
900,9.097592,35.59984,22.407974,22192.457
1000,9.454547,36.610504,22.978395,22138.018
1100,86.56865,37.971485,23.846354,22067.64
1200,27.007149,38.15013,23.882397,21982.012
1300,16.50715,35.68211,22.458035,21875.248
1400,18.236559,35.091908,22.153402,21748.432
1500,19.284197,35.178574,22.197264,21594.504
1600,21.05213,34.369083,21.801695,21402.234
1700,176.85484,32.84093,21.027008,21206.734
1800,21.212402,31.61852,20.379433,21022.684
1900,20.496267,31.085957,20.106869,20832.893
2000,28.854975,30.906937,20.059973,20656.412
2100,18.86951,30.102898,19.654213,20491.25
2200,15.281898,28.6171,18.81614,20329.84
2300,37.016415,27.086172,17.876146,20172.988
2400,23.93257,25.580809,16.96804,20028.832
2500,31.004377,24.061995,16.057938,19892.123
2600,129.75381,22.362957,15.03827,19760.488
2700,26.744617,20.781738,14.09557,19629.467
2800,24.156082,19.304585,13.209548,19490.652
2900,36.669163,18.08825,12.512364,19356.172
3000,37.934597,16.919931,11.851414,19238.225
3100,30.504013,15.837177,11.226688,19127.025
3200,34.498783,14.626705,10.520275,19018.955
3300,25.717651,13.313952,9.740616,18911.268
3400,27.380558,11.913994,8.905793,18795.404
3500,31.27988,10.556929,8.054229,18680.469
3600,28.779604,9.240705,7.219114,18570.451
3700,22.743952,7.9488716,6.4136314,18465.432
3800,21.42873,6.8999724,5.7368875,18348.904
3900,21.81904,6.4719715,5.4583745,18251.14
4000,23.235703,6.1811814,5.268869,18159.736
4100,34.875435,5.931283,5.10913,18069.137
4200,62.528225,5.662936,4.919335,17977.584
4300,70.577995,5.4282484,4.774724,17885.428
4400,128.41115,5.2004895,4.598082,17794.643
4500,52.782574,5.0352707,4.486783,17708.684
4600,33.407223,4.910523,4.402362,17625.92
4700,32.985916,4.80653,4.3302426,17545.86
4800,32.87244,4.75231,4.2927127,17467.31
4900,32.631207,4.7800746,4.3133154,17390.48
5000,30.36079,4.8121943,4.332278,17314.703
5100,29.388502,4.8771076,4.3752747,17240.662
5200,30.126808,4.9763994,4.4436126,17165.488
5300,28.656513,5.086264,4.512793,17087.008
5400,23.45225,5.3077354,4.659145,17012.51
5500,19.530394,5.591001,4.834891,16944.412
5600,14.924181,5.893123,5.015457,16877.623
5700,17.871412,6.21719,5.216499,16810.756
5800,11.441877,6.489705,5.365359,16745.623
5900,18.329699,6.724536,5.5165825,16681.258
6000,8.910183,6.8800917,5.6022644,16618.795
6100,14.221487,7.0674953,5.721614,16556.637
6200,9.696554,7.1853204,5.780247,16496.316
6300,12.894707,7.35979,5.892721,16436.115
6400,33.354794,7.4886274,5.963265,16377.394
6500,12.073049,7.6480646,6.064883,16319.435
6600,10.676546,7.772165,6.144292,16262.665
6700,10.99352,7.9409804,6.244712,16206.384
6800,9.704188,8.053157,6.3162394,16150.856
6900,11.453183,8.214463,6.4146066,16095.541
7000,19.46989,8.3583975,6.4957137,16041.566
7100,9.101902,8.476458,6.565848,15987.362
7200,8.490742,8.629104,6.6673007,15933.908
7300,17.573786,8.796527,6.7727914,15881.136
7400,1976.4961,8.901353,6.8762455,15867.826
7500,10.919535,8.597629,6.635945,15783.795
7600,10.651671,8.889798,6.839201,15732.142
7700,11.354426,9.083064,6.9593263,15682.134
7800,12.218687,9.24741,7.061055,15632.779
7900,15.796166,9.408926,7.1637764,15583.771
8000,14.150854,9.557869,7.254708,15535.327
8100,15.391815,9.707281,7.3501225,15487.155
8200,21.332436,9.863139,7.4565077,15439.208
8300,17.450943,9.973586,7.517193,15391.764
8400,19.257626,10.111238,7.606279,15344.39
8500,19.807598,10.218671,7.671514,15297.266
8600,21.03422,10.349307,7.7508845,15250.156
8700,23.597012,10.475709,7.832273,15202.976
8800,23.606144,10.56729,7.884695,15155.955
8900,25.16861,10.647055,7.931909,15108.332
9000,27.054472,10.678631,7.9499927,15059.008
9100,31.854979,10.722572,7.979546,15005.974
9200,32.04203,10.66803,7.9398346,14951.721
9300,34.81988,10.571211,7.880695,14894.864
9400,37.437866,10.442048,7.8000574,14838.181
9500,39.12649,10.325569,7.7273993,14781.993
9600,56.27524,10.14134,7.5920897,14725.699
9700,40.859776,10.152009,7.617245,14671.028
9800,42.589577,10.119224,7.594585,14616.5
9900,47.98032,10.116589,7.594965,14560.977
10000,46.158688,10.094115,7.576485,14504.797
10100,48.61528,10.039212,7.533852,14446.76
10200,51.825356,9.980495,7.4878855,14385.462
10300,67.36518,9.86274,7.4196754,14314.884
10400,60.738174,9.591691,7.228276,14225.338
10500,66.59858,8.885669,6.805627,13675.032
10600,74.24782,8.65966,6.63836,13561.397
10700,75.80041,8.4772415,6.509932,13469.892
10800,78.14129,8.322358,6.397082,13395.91
10900,74.936134,8.24506,6.32142,13327.814
11000,71.92457,8.057158,6.177822,13261.523
11100,63.724598,7.840531,6.0049324,13194.058
11200,70.13777,7.5995398,5.8206396,13101.799
11300,69.65934,7.1547046,5.5347385,13034.178
11400,63.521595,6.719315,5.2629604,12972.122
11500,58.3326,6.291184,4.994447,12912.888
11600,78.749115,5.9006934,4.751548,12856.697
11700,51.42028,5.5408583,4.521286,12800.791
11800,47.296017,5.1764874,4.2932734,12746.67
11900,44.47699,4.8400254,4.0781593,12692.766
12000,44.125347,4.589056,3.9160752,12638.662
12100,39.97655,4.382962,3.7846308,12582.69
12200,37.756397,4.2266717,3.685171,12527.366
12300,36.82178,4.057842,3.5749447,12473.539
12400,40.01064,3.8788779,3.4572537,12421.396
12500,33.08101,3.7131562,3.3479695,12370.257
12600,33.296257,3.5448954,3.23569,12319.777
12700,30.647696,3.3936453,3.134287,12270.05
12800,29.411121,3.2513723,3.0385666,12220.414
12900,29.483616,3.0914009,2.9290996,12171.182
13000,36.75234,2.9749274,2.8500113,12122.038
13100,27.261797,2.831165,2.750144,12073.073
13200,26.980524,2.7075784,2.6666522,12024.258
13300,26.957165,2.5495937,2.5554838,11975.65
13400,23.498392,2.4050522,2.4541588,11927.17
13500,25.680412,2.261527,2.3511074,11878.468
13600,44.68525,2.090582,2.2305586,11830.472
13700,23.585829,1.8980584,2.0913482,11781.263
13800,45.81827,1.7178073,1.9619873,11731.742
13900,24.060764,1.5115465,1.810019,11680.757
14000,23.447748,1.2873962,1.6434869,11626.717
14100,37.953266,0.951987,1.3807433,11557.475
14200,79.67041,1.5368782,1.022598,11165.454
14300,67.842896,2.3499603,1.2114742,10916.088
14400,49.255775,2.5224912,1.2357519,10679.494
14500,36.176407,2.1250815,1.0714328,10486.795
14600,27.666662,1.7553173,0.93889326,10385.8
14700,36.124214,1.5733118,0.881129,10312.124
14800,25.509638,1.4786704,0.8505443,10248.66
14900,24.611143,1.4245996,0.8356655,10190.032
15000,23.359743,1.4072326,0.8309193,10134.42
15100,21.833342,1.4172589,0.8348901,10080.312
15200,23.276562,1.4608113,0.8490495,10027.134
15300,22.51545,1.5110221,0.86706567,9975.791
15400,21.115393,1.5757109,0.89089286,9925.629
15500,21.036985,1.6587155,0.91981924,9875.434
15600,43.13416,1.7864832,0.9619894,9822.552
15700,24.392006,1.9319745,1.009445,9050.69
15800,29.802483,1.9688122,1.011176,8958.518
15900,21.721891,1.9994004,1.0207098,8883.802
16000,21.281347,2.0335746,1.0329881,8815.094
16100,21.232204,2.051252,1.0412191,8749.655
16200,23.576654,2.0713391,1.0530093,8685.586
16300,22.06668,2.144504,1.0807406,8621.776
16400,23.175762,2.2595875,1.1215433,8559.362
16500,20.670343,2.3600836,1.160007,8501.544
16600,23.813505,2.4837906,1.2035087,8443.907
16700,20.121162,2.5860298,1.2422223,8388.819
16800,18.757778,2.6969194,1.2844348,8334.902
16900,19.844593,2.8253345,1.3324336,8281.366
17000,26.677391,2.9260733,1.3753295,8230.02
17100,17.672346,3.0794415,1.4325378,8176.488
17200,16.54745,3.2554696,1.4999319,8123.5796
17300,16.54559,3.4600687,1.5795366,8071.6235
17400,16.905941,3.6909037,1.6701015,8020.1714
17500,16.51332,3.9167132,1.761079,7969.802
17600,17.141054,4.1735625,1.8625104,7919.118
17700,16.089506,4.425227,1.9649388,7869.7266
17800,15.996229,4.6888084,2.072374,7820.6274
17900,16.36233,4.9729857,2.189738,7771.628
18000,17.539593,5.2686696,2.3102953,7722.5615
18100,19.206762,5.5355253,2.424528,7673.903
18200,20.065416,5.8147097,2.540661,7618.092
18300,18.85126,6.09648,2.6613946,7566.62
18400,20.090103,6.4185596,2.7971683,7516.558
18500,28.124094,6.706239,2.9250364,7469.667
18600,18.6988,7.029616,3.064972,7421.311
18700,18.67205,7.340437,3.198903,7373.957
18800,17.590134,7.650987,3.334045,7326.782
18900,18.134857,7.953956,3.4704556,7279.543
19000,37.47104,8.082302,3.522461,7071.9385
19100,18.439638,8.408341,3.6700516,6983.6406
19200,18.771175,8.626594,3.7673342,6927.4624
19300,17.490005,8.817297,3.8549,6875.452
19400,18.626118,9.02352,3.947592,6824.686
19500,19.781206,9.19942,4.0323043,6775.937
19600,17.68966,9.356647,4.10352,6724.9204
19700,22.61986,9.578572,4.2213435,6433.061
19800,19.994522,9.446207,4.1524725,6364.8555
19900,20.581358,9.394329,4.1326184,6307.1
20000,23.636518,9.304752,4.09713,6250.521
20100,24.74865,9.298675,4.0963316,6197.721
20200,23.051329,9.235976,4.076786,6142.504
20300,26.897146,9.001649,3.9738026,6072.873
20400,35.42636,8.847666,3.9020827,5993.9604
20500,29.88429,8.900637,3.9339664,5913.622
20600,31.723713,8.928806,3.950064,5811.8345
20700,32.9021,8.831282,3.9127975,5733.3
20800,49.605072,8.862493,3.9337974,5662.1235
20900,36.849056,8.70921,3.8771431,5594.544
21000,34.022457,8.395934,3.739673,5508.4346
21100,34.223484,8.027737,3.5665336,5428.171
21200,36.57914,7.712622,3.4182022,5337.5044
21300,35.470375,7.6247783,3.3800333,5264.035
