epoch,loss_pde,loss_bc,error_u,loss_q
0,506020.16,0.2463715,0.4082418,22160.244
100,2332.029,0.21516739,0.3279279,21565.771
200,812.71124,0.29435807,0.4735149,18552.32
300,451.3009,0.52673566,0.57193524,14686.287
400,284.93335,0.6783971,0.60247296,11196.318
500,207.30673,0.6636634,0.59236044,8494.222
600,210.76157,0.6148236,0.5957608,6448.279
700,132.44698,0.57025874,0.5935604,4866.147
800,719.42883,0.5620865,0.6267879,3672.102
900,92.2313,0.6025018,0.6362827,2810.178
1000,76.95207,0.6404222,0.68632424,2192.4543
1100,64.70293,0.669985,0.7172492,1748.1934
1200,54.434486,0.66353285,0.7311276,1422.8973
1300,46.34106,0.6590345,0.7430757,1185.0822
1400,92.94553,0.628858,0.74344987,1001.886
1500,35.78296,0.59747624,0.7342398,853.2415
1600,32.12274,0.5798384,0.7329718,729.4113
1700,29.29939,0.5642401,0.7304603,623.15344
1800,135.73563,0.5463687,0.720979,532.9092
1900,23.733013,0.55692923,0.7389803,458.69003
2000,21.445295,0.55905366,0.7468917,395.84824
2100,19.309969,0.55033094,0.7480459,342.12613
2200,17.512407,0.5649968,0.7636716,297.50388
2300,24.510847,0.5604258,0.768436,259.5737
2400,14.359931,0.55353785,0.76713204,226.64236
2500,13.350163,0.5631346,0.7779658,199.91464
2600,11.876063,0.55052805,0.7731184,176.04807
2700,10.803383,0.5425882,0.7714825,156.42259
2800,10.279708,0.5264084,0.76438,138.55362
2900,8.786631,0.52617544,0.76656765,123.894585
3000,272.83298,0.5008909,0.7513522,110.38156
3100,7.085758,0.5008678,0.7546812,99.07069
3200,134.72346,0.47881722,0.7487089,88.3958
3300,5.8776593,0.4769287,0.74332374,79.51681
3400,46.998356,0.47252494,0.746141,72.15525
3500,4.920946,0.45243397,0.7298523,64.095795
3600,6.3374085,0.4338359,0.7194924,57.199352
3700,4.185434,0.42339596,0.71268,51.412674
3800,301.1629,0.39840683,0.6955538,46.030704
3900,3.5249786,0.39919168,0.69837284,41.253845
4000,3.2509787,0.38363728,0.6890741,36.726265
4100,3.4590945,0.37222752,0.68198574,32.991795
4200,46.06931,0.35533237,0.66917175,29.3403
4300,2.52508,0.3494928,0.6673392,26.318382
4400,2.321654,0.3356821,0.65837854,23.399275
4500,2.7942193,0.329652,0.6536961,21.089777
4600,20.296223,0.3138421,0.64135677,18.96439
4700,1.7950834,0.30447063,0.6365265,16.798414
4800,18.274336,0.2983651,0.6322777,15.448453
4900,1.5993036,0.28836432,0.6242876,13.616467
5000,1.3908124,0.27852196,0.61664873,12.247599
5100,29.962574,0.2715515,0.60824,10.991999
5200,3.7757702,0.26248834,0.6038732,10.001092
5300,2.4221323,0.24660072,0.59126264,8.901778
5400,2.1234355,0.24004938,0.5840707,8.087164
5500,1.2372078,0.23016937,0.57618433,7.2939744
5600,2.3829393,0.2260806,0.57126456,6.7025714
5700,11.786199,0.21987139,0.56600225,6.2248254
5800,2.101475,0.2123199,0.5591301,5.60306
5900,161.50085,0.21158497,0.55385816,5.167381
6000,6.607429,0.20590574,0.5518116,4.7963176
6100,0.5297302,0.19706894,0.5434291,4.296253
6200,1.2970374,0.19656615,0.54173803,4.033635
6300,0.71462303,0.19064854,0.5363309,3.6645157
6400,50.999588,0.18685429,0.52910507,3.3388727
6500,5.964759,0.18132852,0.5254343,3.111167
6600,0.36013627,0.17771156,0.5220544,2.8535485
6700,0.95768875,0.17644839,0.5197465,2.6851642
6800,0.5190567,0.17191654,0.5148733,2.4567926
6900,2.2135277,0.17094168,0.5132282,2.3324475
7000,0.8930894,0.16682865,0.50871587,2.1127725
7100,0.59966916,0.16375451,0.50489646,1.9549174
7200,1.2994728,0.16108552,0.50166756,1.8180642
7300,0.72905487,0.15832299,0.49803868,1.6785041
7400,0.79475516,0.15747795,0.4961375,1.5993003
7500,0.20152518,0.15302834,0.49148944,1.4613811
7600,2.783638,0.15376616,0.49189773,1.3882188
7700,1.6641046,0.15047304,0.48752815,1.2934281
7800,28.901224,0.14475864,0.4828188,1.1930195
7900,2.3107495,0.1482368,0.4846115,1.1615794
8000,4.6054754,0.14283404,0.4770668,1.0499331
8100,14.224835,0.14324126,0.47876433,1.0011066
8200,40.681385,0.14035186,0.47612077,0.96954674
8300,0.19351318,0.13953456,0.4732928,0.88848114
8400,6.604151,0.13812004,0.46989498,0.8571547
8500,11.374309,0.13623938,0.4696787,0.79804015
8600,19.204914,0.13313404,0.46454543,0.75539744
8700,58.322697,0.13283034,0.46726888,0.7502126
8800,15.28861,0.13518953,0.4684385,0.77510464
8900,1.4240931,0.13331412,0.46537575,0.6914561
9000,1.5650378,0.13037129,0.462251,0.63338804
9100,2.004524,0.12903254,0.46136618,0.60834527
9200,16.016935,0.12819384,0.45840633,0.55944973
9300,23.19632,0.12678625,0.45929474,0.6036443
9400,2.8698587,0.12462036,0.45543844,0.532483
9500,32.994797,0.122163504,0.45328307,0.53218293
9600,3.6577218,0.12212834,0.45244816,0.50056374
9700,2.2306554,0.11908472,0.44866088,0.45220846
9800,1.180622,0.11725704,0.44676474,0.437164
9900,0.40704262,0.11649959,0.44676018,0.42589784
10000,7.646531,0.11330846,0.44129002,0.39482868
