x,t,u_pred
-1.0,0.0,0.0033055544
-0.98994976,0.0,0.0032265782
-0.9798995,0.0,0.0031484812
-0.9698492,0.0,0.0030717999
-0.959799,0.0,0.0029973686
-0.94974875,0.0,0.0029271543
-0.9396985,0.0,0.0028633922
-0.9296482,0.0,0.0028090775
-0.919598,0.0,0.0027671307
-0.90954775,0.0,0.0027409047
-0.8994975,0.0,0.0027337074
-0.8894472,0.0,0.0027488917
-0.879397,0.0,0.0027894229
-0.86934674,0.0,0.0028577596
-0.8592965,0.0,0.002956286
-0.8492462,0.0,0.0030864477
-0.83919597,0.0,0.0032491088
-0.8291457,0.0,0.0034442842
-0.8190955,0.0,0.0036708862
-0.80904526,0.0,0.0039273053
-0.79899496,0.0,0.004211113
-0.7889447,0.0,0.0045188516
-0.7788945,0.0,0.00484702
-0.76884425,0.0,0.0051914155
-0.75879395,0.0,0.005547911
-0.7487437,0.0,0.0059126467
-0.7386935,0.0,0.0062823296
-0.72864324,0.0,0.006654039
-0.71859294,0.0,0.0070260465
-0.7085427,0.0,0.007396966
-0.69849247,0.0,0.007766545
-0.68844223,0.0,0.008134723
-0.67839193,0.0,0.008502111
-0.6683417,0.0,0.008869261
-0.65829146,0.0,0.009236425
-0.6482412,0.0,0.009603336
-0.6381909,0.0,0.009969175
-0.6281407,0.0,0.01033175
-0.61809045,0.0,0.010688305
-0.6080402,0.0,0.0110351
-0.59799,0.0,0.011367708
-0.5879397,0.0,0.0116811395
-0.57788944,0.0,0.011970565
-0.5678392,0.0,0.01223141
-0.55778897,0.0,0.012459934
-0.5477387,0.0,0.012653291
-0.53768843,0.0,0.012809709
-0.5276382,0.0,0.012929082
-0.51758796,0.0,0.0130111575
-0.50753766,0.0,0.013057962
-0.49748743,0.0,0.013070732
-0.4874372,0.0,0.013051569
-0.47738692,0.0,0.013001859
-0.46733668,0.0,0.012923077
-0.45728642,0.0,0.012815803
-0.44723618,0.0,0.012680501
-0.43718594,0.0,0.012516826
-0.42713568,0.0,0.0123244375
-0.41708544,0.0,0.012102827
-0.40703517,0.0,0.011851534
-0.39698493,0.0,0.011570454
-0.38693467,0.0,0.011259571
-0.37688443,0.0,0.010919452
-0.36683416,0.0,0.010550618
-0.35678393,0.0,0.010154054
-0.34673366,0.0,0.009730741
-0.33668342,0.0,0.00928171
-0.32663316,0.0,0.008807778
-0.31658292,0.0,0.008310229
-0.30653265,0.0,0.007789433
-0.2964824,0.0,0.0072466135
-0.28643215,0.0,0.0066829473
-0.2763819,0.0,0.006099522
-0.26633167,0.0,0.005498275
-0.2562814,0.0,0.0048814863
-0.24623115,0.0,0.0042521656
-0.2361809,0.0,0.0036137998
-0.22613065,0.0,0.002970636
-0.2160804,0.0,0.0023273528
-0.20603015,0.0,0.0016888231
-0.1959799,0.0,0.0010599792
-0.18592964,0.0,0.00044566393
-0.1758794,0.0,-0.00014986098
-0.16582915,0.0,-0.0007227957
-0.1557789,0.0,-0.0012694895
-0.14572865,0.0,-0.0017873943
-0.1356784,0.0,-0.002274245
-0.12562814,0.0,-0.002728641
-0.11557789,0.0,-0.0031493455
-0.10552764,0.0,-0.0035357773
-0.09547739,0.0,-0.003887713
-0.085427135,0.0,-0.0042054504
-0.07537688,0.0,-0.0044894964
-0.06532663,0.0,-0.0047407895
-0.055276383,0.0,-0.004960686
-0.04522613,0.0,-0.0051511377
-0.03517588,0.0,-0.005313918
-0.025125628,0.0,-0.0054508597
-0.015075377,0.0,-0.0055645704
-0.0050251256,0.0,-0.005657196
0.0050251256,0.0,-0.0057308227
0.015075377,0.0,-0.005787492
0.025125628,0.0,-0.0058291554
0.03517588,0.0,-0.005856991
0.04522613,0.0,-0.005872041
0.055276383,0.0,-0.0058751106
0.06532663,0.0,-0.0058662146
0.07537688,0.0,-0.005845502
0.085427135,0.0,-0.005812466
0.09547739,0.0,-0.005766526
0.10552764,0.0,-0.005706817
0.11557789,0.0,-0.005632296
0.12562814,0.0,-0.005542189
0.1356784,0.0,-0.0054356605
0.14572865,0.0,-0.005311787
0.1557789,0.0,-0.0051700026
0.16582915,0.0,-0.005010292
0.1758794,0.0,-0.0048322678
0.18592964,0.0,-0.004636228
0.1959799,0.0,-0.00442262
0.20603015,0.0,-0.004192248
0.2160804,0.0,-0.003945872
0.22613065,0.0,-0.0036849529
0.2361809,0.0,-0.003410533
0.24623115,0.0,-0.003124535
0.2562814,0.0,-0.0028282404
0.26633167,0.0,-0.0025235564
0.2763819,0.0,-0.002212286
0.28643215,0.0,-0.0018960387
0.2964824,0.0,-0.0015768409
0.30653265,0.0,-0.0012561083
0.31658292,0.0,-0.00093509257
0.32663316,0.0,-0.00061519444
0.33668342,0.0,-0.00029736757
0.34673366,0.0,1.770258e-05
0.35678393,0.0,0.0003297031
0.36683416,0.0,0.00063821673
0.37688443,0.0,0.0009433031
0.38693467,0.0,0.001244992
0.39698493,0.0,0.0015432388
0.40703517,0.0,0.0018380731
