t,x,y,u,k
0.01562500,0.17187500,0.07812500,0.00460394,0.00014769
0.01562500,0.17187500,0.73437500,0.00459954,0.00014768
0.01562500,0.20312500,0.39062500,0.01222137,0.00017156
0.01562500,0.42187500,0.92187500,0.70415807,0.00868956
0.01562500,0.48437500,0.29687500,0.98727131,0.00017326
0.01562500,0.48437500,0.32812500,0.98727155,0.00017326
0.01562500,0.64062500,0.54687500,0.48464629,0.01990593
0.01562500,0.67187500,0.32812500,0.24494302,0.00544475
0.01562500,0.82812500,0.07812500,0.00463784,0.00014779
0.01562500,0.85937500,0.39062500,0.00164553,0.00013926
0.01562500,0.85937500,0.45312500,0.00156151,0.00013903
0.01562500,0.89062500,0.45312500,0.00045675,0.00013600
0.04687500,0.17187500,0.48437500,0.00462815,0.00014776
0.04687500,0.20312500,0.10937500,0.01228125,0.00017176
0.04687500,0.20312500,0.79687500,0.01231170,0.00017186
0.04687500,0.35937500,0.70312500,0.42413473,0.01782535
0.04687500,0.51562500,0.67187500,0.98568881,0.00017868
0.04687500,0.60937500,0.29687500,0.71380943,0.00801603
0.04687500,0.73437500,0.26562500,0.06636596,0.00046532
0.04687500,0.76562500,0.79687500,0.02976499,0.00024010
0.04687500,0.82812500,0.54687500,0.00464588,0.00014782
0.04687500,0.89062500,0.04687500,0.00049077,0.00013609
0.07812500,0.20312500,0.23437500,0.01236468,0.00017204
0.07812500,0.32812500,0.64062500,0.32161632,0.01058373
0.07812500,0.35937500,0.32812500,0.43381411,0.01832234
0.07812500,0.48437500,0.51562500,0.98286563,0.00018873
0.07812500,0.70312500,0.92187500,0.20147161,0.00336473
0.07812500,0.73437500,0.70312500,0.06987220,0.00049437
0.07812500,0.89062500,0.29687500,0.00048353,0.00013607
0.07812500,0.92187500,0.79687500,0.00013317,0.00013512
0.10937500,0.04687500,0.85937500,0.00005040,0.00013489
0.10937500,0.07812500,0.64062500,0.00018693,0.00013526
0.10937500,0.20312500,0.01562500,0.01252485,0.00017258
0.10937500,0.29687500,0.48437500,0.18831800,0.00286572
0.10937500,0.35937500,0.32812500,0.44067878,0.01864079
0.10937500,0.42187500,0.14062500,0.62244761,0.01481831
0.10937500,0.57812500,0.10937500,0.72636831,0.00717699
0.10937500,0.67187500,0.76562500,0.56725961,0.01826990
0.10937500,0.92187500,0.85937500,0.00015015,0.00013516
0.10937500,0.98437500,0.17187500,0.00003004,0.00013484
0.14062500,0.17187500,0.89062500,0.00470321,0.00014798
0.14062500,0.20312500,0.26562500,0.01256038,0.00017270
0.14062500,0.23437500,0.20312500,0.03083996,0.00024500
0.14062500,0.23437500,0.32812500,0.03077855,0.00024472
0.14062500,0.48437500,0.14062500,0.96980822,0.00024204
0.14062500,0.48437500,0.42187500,0.96974349,0.00024233
0.14062500,0.64062500,0.07812500,0.66165853,0.01185871
0.14062500,0.64062500,0.95312500,0.67166060,0.01109378
0.14062500,0.67187500,0.70312500,0.61711931,0.01520149
0.17187500,0.35937500,0.48437500,0.44995368,0.01902282
0.17187500,0.64062500,0.32812500,0.66866785,0.01132209
0.17187500,0.67187500,0.89062500,0.68424970,0.01014289
0.17187500,0.89062500,0.20312500,0.00050357,0.00013612
0.17187500,0.92187500,0.48437500,0.00016087,0.00013519
0.20312500,0.10937500,0.45312500,0.00058576,0.00013635
0.20312500,0.10937500,0.60937500,0.00050554,0.00013613
0.20312500,0.17187500,0.85937500,0.00475093,0.00014812
0.20312500,0.23437500,0.23437500,0.03197651,0.00025028
0.20312500,0.23437500,0.48437500,0.03194884,0.00025015
0.20312500,0.32812500,0.23437500,0.37440065,0.01458842
0.20312500,0.60937500,0.51562500,0.69922608,0.00904228
0.20312500,0.70312500,0.60937500,0.60396093,0.01611217
0.20312500,0.70312500,0.70312500,0.60396081,0.01611218
0.20312500,0.76562500,0.10937500,0.05361166,0.00037176
0.20312500,0.92187500,0.85937500,0.00012592,0.00013510
0.20312500,0.95312500,0.35937500,0.00003512,0.00013485
0.20312500,0.95312500,0.64062500,0.00003684,0.00013486
0.23437500,0.01562500,0.48437500,0.00001189,0.00013479
0.23437500,0.01562500,0.70312500,0.00000566,0.00013477
0.23437500,0.14062500,0.45312500,0.00161728,0.00013918
0.23437500,0.20312500,0.01562500,0.01285562,0.00017369
0.23437500,0.26562500,0.23437500,0.11277919,0.00099694
0.23437500,0.39062500,0.23437500,0.52461874,0.01975903
0.23437500,0.67187500,0.29687500,0.72005904,0.00759289
0.23437500,0.89062500,0.73437500,0.00053975,0.00013622
0.23437500,0.92187500,0.60937500,0.00014160,0.00013514
0.26562500,0.01562500,0.39062500,0.00001180,0.00013479
0.26562500,0.35937500,0.76562500,0.45776904,0.01929919
0.26562500,0.54687500,0.67187500,0.80568516,0.00308596
0.26562500,0.57812500,0.98437500,0.75028527,0.00571376
0.26562500,0.60937500,0.70312500,0.71172160,0.00815973
0.26562500,0.64062500,0.79687500,0.70640159,0.00853094
0.26562500,0.67187500,0.04687500,0.70535058,0.00860510
0.26562500,0.76562500,0.79687500,0.24063882,0.00520890
0.26562500,0.82812500,0.60937500,0.00483990,0.00014839
0.26562500,0.89062500,0.20312500,0.00050861,0.00013614
0.26562500,0.95312500,0.60937500,0.00001580,0.00013480
0.29687500,0.07812500,0.29687500,0.00017556,0.00013523
0.29687500,0.10937500,0.07812500,0.00049188,0.00013609
0.29687500,0.17187500,0.26562500,0.00481572,0.00014832
0.29687500,0.29687500,0.20312500,0.31247073,0.00989855
0.29687500,0.42187500,0.42187500,0.58781976,0.01714122
0.29687500,0.67187500,0.48437500,0.70848423,0.00838478
0.29687500,0.73437500,0.48437500,0.60704851,0.01590359
0.29687500,0.73437500,0.54687500,0.60704863,0.01590358
0.29687500,0.92187500,0.76562500,0.00015090,0.00013517
0.32812500,0.04687500,0.48437500,0.00001189,0.00013479
0.32812500,0.14062500,0.14062500,0.00166198,0.00013931
0.32812500,0.26562500,0.54687500,0.17407052,0.00238961
0.32812500,0.29687500,0.70312500,0.32028249,0.01048310
0.32812500,0.73437500,0.23437500,0.67499650,0.01084015
0.32812500,0.89062500,0.45312500,0.00051179,0.00013614
0.32812500,0.95312500,0.48437500,-0.00000434,0.00013475
0.35937500,0.04687500,0.07812500,0.00003595,0.00013486
0.35937500,0.07812500,0.20312500,0.00019540,0.00013529
0.35937500,0.20312500,0.29687500,0.01329207,0.00017518
0.35937500,0.23437500,0.26562500,0.04411084,0.00031318
0.35937500,0.26562500,0.23437500,0.19608441,0.00315327
0.35937500,0.26562500,0.79687500,0.19569473,0.00313835
0.35937500,0.35937500,0.26562500,0.46300492,0.01945997
0.35937500,0.45312500,0.17187500,0.65860456,0.01209297
0.35937500,0.70312500,0.89062500,0.69111246,0.00963356
0.35937500,0.73437500,0.89062500,0.76063323,0.00514044
0.39062500,0.01562500,0.92187500,0.00000422,0.00013477
0.39062500,0.04687500,0.64062500,0.00003571,0.00013486
0.39062500,0.48437500,0.07812500,0.78643578,0.00387608
0.39062500,0.54687500,0.07812500,0.79380441,0.00355840
0.39062500,0.64062500,0.98437500,0.71461451,0.00796092
0.39062500,0.76562500,0.54687500,0.63257128,0.01407260
